,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q4 2022.1
0,Doanh số,9167199061789.0,10861759782895.0,13035928326400.0,15922446541201.0,17005852337540.0,12702172579145.0,12233956658179.0,8152489405311.0,7942001885518.0,7942001885518.0
1,Các khoản giảm trừ,-67608113815.0,-15770761902.0,-52033980353.0,-125398622479.0,-72224701503.0,-41100698755.0,-56720819850.0,-213371516572.0,-24573266722.0,-24573266722.0
2,Doanh số thuần,9099590947974.0,10845989020993.0,12983894346047.0,15797047918722.0,16933627636037.0,12661071880390.0,12177235838329.0,7939117888739.0,7917428618796.0,7917428618796.0
3,Giá vốn hàng bán,-7600738924861.0,-8892023772404.0,-10030159798762.0,-13330201556726.0,-14810351326627.0,-11231063020706.0,-10582264858812.0,-8147926214186.0,-7757461411410.0,-7757461411410.0
4,Lãi gộp,1498852023113.0,1953965248589.0,2953734547285.0,2466846361996.0,2123276309410.0,1430008859684.0,1594970979517.0,-208808325447.0,159967207386.0,159967207386.0
5,Thu nhập tài chính,14841583447.0,64088353028.0,152701691837.0,134664484092.0,153040387534.0,78328203518.0,44070725961.0,97458254842.0,32049202015.0,32049202015.0
6,Chi phí tài chính,-122643731977.0,-117154166168.0,-150928692258.0,-161281710231.0,-168990724113.0,-128015151497.0,-218442212991.0,-111515976158.0,-113597148643.0,-113597148643.0
7,Trong đó: Chi phí lãi vay,-91845086689.0,-77078839889.0,-79458539288.0,-106666082947.0,-75432057646.0,-52046334384.0,-59241516019.0,-73522016290.0,-47864076978.0,-47864076978.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-595425651914.0,-647566225161.0,-857091521374.0,-1244403838105.0,-1226880157592.0,-926923900276.0,-1014890610022.0,-663947832175.0,-668467268095.0,-668467268095.0
10,Chi phí quản lý doanh  nghiệp,-105024017548.0,-69662761355.0,-108576352498.0,-142553232537.0,-134043713707.0,-169043052543.0,-115371788308.0,-103768807864.0,-99485305598.0,-99485305598.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,690600205121.0,1183670448933.0,1989839672992.0,1053272065215.0,746402101532.0,284354958886.0,290337094157.0,-990582686802.0,-689533312935.0,-689533312935.0
12,Thu nhập khác,2790161120.0,7841165479.0,2734302199.0,1342785887.0,4533057296.0,8198213063.0,23587606531.0,18630313699.0,22890455426.0,22890455426.0
13,Chi phí khác,-1582268589.0,-2011118400.0,-1084307532.0,-11930041545.0,-1000289639.0,-1539354019.0,-909540383.0,-3764597111.0,-720170063.0,-720170063.0
14,"Thu nhập khác, ròng",1207892531.0,5830047079.0,1649994667.0,-10587255658.0,3532767657.0,6658859044.0,22678066148.0,14865716588.0,22170285363.0,22170285363.0
16,Lãi/(lỗ) ròng trước thuế,691808097652.0,1189500496012.0,1991489667659.0,1042684809557.0,749934869189.0,291013817930.0,313015160305.0,-975716970214.0,-667363027572.0,-667363027572.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-122820461089.0,-117837604776.0,-294848263107.0,-167059835293.0,-135468723876.0,-44437569319.0,-49190237207.0,134975020389.0,-7680968962.0,-7680968962.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,3028407392.0,26931386806.0,5182882316.0,65434479130.0,23857292667.0,-12501668146.0,1184920847.0,-45967064025.0,-5189504110.0,-5189504110.0
19,Chi phí thuế thu nhập doanh nghiệp,-119792053697.0,-90906217970.0,-289665380791.0,-101625356163.0,-111611431209.0,-56939237465.0,-48005316360.0,89007956364.0,-12870473072.0,-12870473072.0
20,Lãi/(lỗ) thuần sau thuế,572016043955.0,1098594278042.0,1701824286868.0,941059453394.0,638323437980.0,234074580465.0,265009843945.0,-886709013850.0,-680233500644.0,-680233500644.0
21,Lợi ích của cổ đông thiểu số,-6600844.0,-5655323.0,-708857.0,-206500.0,-3362627.0,-3301022.0,8199081.0,-22559077.0,7368044.0,7368044.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,572022644799.0,1098599933365.0,1701824995725.0,941059659894.0,638326800607.0,234077881487.0,265001644864.0,-886686454773.0,-680240868688.0,-680240868688.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
