,CHỈ TIÊU,Q2 2011,Q3 2011,Q4 2011,Q4 2011.1,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013
0,Doanh số,26899236613.0,21507652860.0,22382554082.0,22382554082.0,15614317829.0,18903104851.0,22074077453.0,20740946930.0,20740946930.0,18518503745.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,26899236613.0,21507652860.0,22382554082.0,22382554082.0,15614317829.0,18903104851.0,22074077453.0,20740946930.0,20740946930.0,18518503745.0
3,Giá vốn hàng bán,-24819283565.0,-20046934113.0,-19874729219.0,-19874729219.0,-15123846465.0,-17281019696.0,-18870581610.0,-18799236769.0,-18799236769.0,-17480372454.0
4,Lãi gộp,2079953048.0,1460718747.0,2507824863.0,2507824863.0,490471364.0,1622085155.0,3203495843.0,1941710161.0,1941710161.0,1038131291.0
5,Thu nhập tài chính,898483877.0,5427815.0,9146961.0,9146961.0,87450978.0,18200074.0,5354474.0,32794451.0,32794451.0,8255725.0
6,Chi phí tài chính,-1687685753.0,-869310774.0,-815022553.0,-815022553.0,-599631412.0,-242845759.0,-227209579.0,-207679628.0,-207679628.0,-95332522.0
7,Trong đó: Chi phí lãi vay,-847876626.0,-866861375.0,-815022553.0,-815022553.0,-564879681.0,-242502220.0,-227209579.0,-157132029.0,-157132029.0,-95000001.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-376978000.0,-272398500.0,-232987000.0,-232987000.0,-216195000.0,-265513000.0,-311996830.0,-376346000.0,-376346000.0,-265399500.0
10,Chi phí quản lý doanh  nghiệp,-965497499.0,-687245388.0,-779926627.0,-779926627.0,-776787532.0,-672830428.0,-723911671.0,-1070504160.0,-1070504160.0,-635808258.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-51724327.0,-362808100.0,689035644.0,689035644.0,-1014691602.0,459096042.0,1945732237.0,319974824.0,319974824.0,49846736.0
12,Thu nhập khác,1688765868.0,408765456.0,1531311805.0,1531311805.0,1990492169.0,122267012.0,463165541.0,130824802.0,130824802.0,69946520.0
13,Chi phí khác,-665643266.0,-37868819.0,-216838434.0,-216838434.0,-717258065.0,-559510555.0,-22348700.0,-125592507.0,-125592507.0,-23297513.0
14,"Thu nhập khác, ròng",1023122602.0,370896637.0,1314473371.0,1314473371.0,1273234104.0,-437243543.0,440816841.0,5232295.0,5232295.0,46649007.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,971398275.0,8088537.0,2003509015.0,2003509015.0,258542502.0,21852499.0,2386549078.0,325207119.0,325207119.0,96495743.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,-47623627.0,-47623627.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,-47623627.0,-47623627.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,971398275.0,8088537.0,1955885388.0,1955885388.0,258542502.0,21852499.0,2386549078.0,325207119.0,325207119.0,96495743.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,971398275.0,8088537.0,1955885388.0,1955885388.0,258542502.0,21852499.0,2386549078.0,325207119.0,325207119.0,96495743.0
23,Lãi cơ bản trên cổ phiếu,262.0,2.0,527.0,527.0,60.0,7.0,554.0,75.0,75.0,22.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
