,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q4 2021.1,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,681021511070.0,642935060209.0,828574692194.0,683052582550.0,889479455750.0,889479455750.0,999202183033.0,1199042251316.0,1061567571653.0,925774015573.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,681021511070.0,642935060209.0,828574692194.0,683052582550.0,889479455750.0,889479455750.0,999202183033.0,1199042251316.0,1061567571653.0,925774015573.0
3,Giá vốn hàng bán,-620486484983.0,-601950644102.0,-773823938423.0,-646419300093.0,-814293624253.0,-814293624253.0,-931109967953.0,-1112477473508.0,-1001894852621.0,-839846422183.0
4,Lãi gộp,60535026087.0,40984416107.0,54750753771.0,36633282457.0,75185831497.0,75185831497.0,68092215080.0,86564777808.0,59672719032.0,85927593390.0
5,Thu nhập tài chính,2121339425.0,1299195282.0,1246306455.0,799228062.0,912829410.0,912829410.0,1174506279.0,1736886674.0,2158946808.0,3228611646.0
6,Chi phí tài chính,-157735.0,-469123926.0,-132172302.0,100069326.0,-57358.0,-57358.0,-22243308.0,-1161570628.0,-1437513442.0,-1404584703.0
7,Trong đó: Chi phí lãi vay,0.0,-468994869.0,-132172302.0,-100814985.0,0.0,0.0,-22071233.0,-1161570628.0,-1436171916.0,-1404539119.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-8477535869.0,-5927502797.0,-4710709152.0,-3961574944.0,-12182636944.0,-12182636944.0,-5383175280.0,-13259099520.0,-5604983692.0,-11366026796.0
10,Chi phí quản lý doanh  nghiệp,-14894849468.0,-18380480732.0,-19050859674.0,-20359026660.0,-18674453188.0,-18674453188.0,-19371606128.0,-28033718902.0,-28267272845.0,-33739064927.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,39283822440.0,17506503934.0,32103319098.0,13211978241.0,45241513417.0,45241513417.0,44489696643.0,45847275432.0,26521895861.0,42646528610.0
12,Thu nhập khác,16673866130.0,19383215.0,25743182.0,29581818.0,1818198.0,1818198.0,45200000.0,1420102634.0,9927272.0,79119090.0
13,Chi phí khác,-14401730035.0,0.0,-1608678151.0,-76684479.0,-14154.0,-14154.0,-6481481.0,-30464281.0,-1816189498.0,-91599534.0
14,"Thu nhập khác, ròng",2272136095.0,19383215.0,-1582934969.0,-47102661.0,1804044.0,1804044.0,38718519.0,1389638353.0,-1806262226.0,-12480444.0
16,Lãi/(lỗ) ròng trước thuế,41555958535.0,17525887149.0,30520384129.0,13164875580.0,45243317461.0,45243317461.0,44528415162.0,47236913785.0,24715633635.0,42634048166.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-10118380821.0,-2607264647.0,-16107429573.0,-4838301007.0,-3641458598.0,-3641458598.0,-12392662934.0,-14421311139.0,-14233050342.0,1751564840.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-710410317.0,-5463320.0,6279498811.0,2233996160.0,-6613188097.0,-6613188097.0,3957316235.0,4317361697.0,7465227202.0,-8751125171.0
19,Chi phí thuế thu nhập doanh nghiệp,-10828791138.0,-2612727967.0,-9827930762.0,-2604304847.0,-10254646695.0,-10254646695.0,-8435346699.0,-10103949442.0,-6767823140.0,-6999560331.0
20,Lãi/(lỗ) thuần sau thuế,30727167397.0,14913159182.0,20692453367.0,10560570733.0,34988670766.0,34988670766.0,36093068463.0,37132964343.0,17947810495.0,35634487835.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,30727167397.0,14913159182.0,20692453367.0,10560570733.0,34988670766.0,34988670766.0,36093068463.0,37132964343.0,17947810495.0,35634487835.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2471.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2471.0,0.0,0.0
