,CHỈ TIÊU,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014
0,Doanh số,13923345633.0,31715371806.0,16167478774.0,15208028769.0,15208028769.0,7401949988.0,17230929491.0,22740989232.0,-51535397607.0,9030661519.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,13923345633.0,31715371806.0,16167478774.0,15208028769.0,15208028769.0,7401949988.0,17230929491.0,22740989232.0,-51535397607.0,9030661519.0
3,Giá vốn hàng bán,-11143218220.0,-36777231420.0,-104769605090.0,-51480986712.0,-51480986712.0,-10328291186.0,-25850948790.0,-37371926087.0,-21212175713.0,-12435119016.0
4,Lãi gộp,2780127413.0,-5061859614.0,-88602126316.0,-36272957943.0,-36272957943.0,-2926341198.0,-8620019299.0,-14630936855.0,-72747573320.0,-3404457497.0
5,Thu nhập tài chính,1012170067.0,79608345.0,28720812.0,26195470.0,26195470.0,15084322.0,25768964.0,14146566.0,10078346.0,2746666.0
6,Chi phí tài chính,-25617464862.0,-15756877878.0,-20115289640.0,-26109995629.0,-26109995629.0,-13793693625.0,-12017204043.0,-20446608993.0,-21890034572.0,-20265469419.0
7,Trong đó: Chi phí lãi vay,-25617464862.0,-15756877878.0,-20115289640.0,-26109995629.0,-26109995629.0,-13793693625.0,-12017204043.0,-20446608993.0,-21890034572.0,-20265469419.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-117997900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-9211045680.0,-9696637183.0,-5735839068.0,-5113366787.0,-5113366787.0,-5210455124.0,-6834476761.0,-5994334363.0,-2792032766.0,-4711551885.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-31154210962.0,-30435766330.0,-114424534212.0,-67470124889.0,-67470124889.0,-21915405625.0,-27445931139.0,-41057733645.0,-97419562312.0,-28378732135.0
12,Thu nhập khác,1096171518.0,6032914625.0,1837657624.0,8531743390.0,8531743390.0,6095017329.0,12156951598.0,5632173396.0,3341887140.0,389410745.0
13,Chi phí khác,-2006653636.0,-7838800506.0,-5415260962.0,-10404191813.0,-10404191813.0,-9494051461.0,-24667962958.0,-8187887673.0,-4476422005.0,-3690734503.0
14,"Thu nhập khác, ròng",-910482118.0,-1805885881.0,-3577603338.0,-1872448423.0,-1872448423.0,-3399034132.0,-12511011360.0,-2555714277.0,-1134534865.0,-3301323758.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-32064693080.0,-32241652211.0,-118002137550.0,-69342573312.0,-69342573312.0,-25314439757.0,-39956942499.0,-43613447922.0,-98554097177.0,-31680055893.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1044870682.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1044870682.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-32064693080.0,-32241652211.0,-118002137550.0,-69342573312.0,-69342573312.0,-25314439757.0,-39956942499.0,-44658318604.0,-98554097177.0,-31680055893.0
21,Lợi ích của cổ đông thiểu số,-83945001.0,-15545075.0,-228350540.0,-26310645.0,-26310645.0,-112357793.0,-52111523.0,-33099888.0,524529.0,-4859999.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-31980748079.0,-32226107136.0,-117773787010.0,-69316262667.0,-69316262667.0,-25202081964.0,-39904830976.0,-44625218716.0,-98554621706.0,-31675195894.0
23,Lãi cơ bản trên cổ phiếu,0.0,-1834.0,-3371.0,-1981.0,-1981.0,0.0,0.0,-1275.0,-2816.0,-905.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
