,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021
0,Doanh số,738478374130.0,698254696824.0,752010007286.0,851761841603.0,786132598550.0,718019437586.0,1125179981751.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,738478374130.0,698254696824.0,752010007286.0,851761841603.0,786132598550.0,718019437586.0,1125179981751.0
3,Giá vốn hàng bán,-647763990954.0,-629775167620.0,-682842380707.0,-774594641419.0,-727596541430.0,-660726315771.0,-962020368236.0
4,Lãi gộp,90714383176.0,68479529204.0,69167626579.0,77167200184.0,58536057120.0,57293121815.0,163159613515.0
5,Thu nhập tài chính,20260911478.0,22466070726.0,7668774316.0,17212977887.0,5709349458.0,8430685213.0,26082168238.0
6,Chi phí tài chính,-5685295474.0,-3777502924.0,-2739991742.0,-4738176906.0,-6254287717.0,-8499970872.0,-10861495636.0
7,Trong đó: Chi phí lãi vay,-2346714112.0,-1898597650.0,1721762532.0,-2636595731.0,-4283963998.0,-4839781343.0,-5729921188.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-32785704199.0,-27497828149.0,-27951409202.0,-28844864664.0,-33256935539.0,-31147967182.0,-41434915355.0
10,Chi phí quản lý doanh  nghiệp,-20170750254.0,-17494500612.0,-16558539742.0,-17331792114.0,-16494705391.0,-18269793794.0,-30235152786.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,52333544727.0,42175768245.0,29586460209.0,43465344387.0,8239477931.0,7806075180.0,106710217976.0
12,Thu nhập khác,3557360250.0,4312102502.0,1944966913.0,256999590.0,212623163.0,1839150324.0,417795495.0
13,Chi phí khác,-3068058949.0,-3566954098.0,-1399364500.0,-106120814.0,-431388310.0,-586592340.0,-341088005.0
14,"Thu nhập khác, ròng",489301301.0,745148404.0,545602413.0,150878776.0,-218765147.0,1252557984.0,76707490.0
16,Lãi/(lỗ) ròng trước thuế,52822846028.0,42920916649.0,30132062622.0,43616223163.0,8020712784.0,9058633164.0,106786925466.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-12001728857.0,-6674429967.0,-3635050066.0,-8052398170.0,-839410362.0,-1385572907.0,-21258749582.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,2218998637.0,866441385.0,-1017975848.0,115686096.0,-739937598.0,-442384031.0,-1983420568.0
19,Chi phí thuế thu nhập doanh nghiệp,-9782730220.0,-5807988582.0,-4653025914.0,-7936712074.0,-1579347960.0,-1827956938.0,-23242170150.0
20,Lãi/(lỗ) thuần sau thuế,43040115808.0,37112928067.0,25479036708.0,35679511089.0,6441364824.0,7230676226.0,83544755316.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,43040115808.0,37112928067.0,25479036708.0,35679511089.0,6441364824.0,7230676226.0,83544755316.0
23,Lãi cơ bản trên cổ phiếu,0.0,7423.0,5096.0,7136.0,1041.0,658.0,8620.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0
