,CHỈ TIÊU,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,2106674901698.0,2690499870753.0,3921220017243.0,4723455576865.0,4753622107818.0,4605530855763.0
1,TÀI SẢN NGẮN HẠN,400863472517.0,347853907853.0,99155532052.0,100021195558.0,159699899959.0,202639206612.0
2,Tiền và tương đương tiền,17749385610.0,15524828361.0,7309911204.0,4005735990.0,23910422402.0,82495469622.0
3,Tiền,17749385610.0,15524828361.0,7309911204.0,4005735990.0,23910422402.0,82495469622.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,1000000000.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,1000000000.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,370566850114.0,312753781420.0,88764191091.0,91510299816.0,117524036190.0,117771976181.0
10,Phải thu khách hàng,330000000.0,142623000.0,16475012238.0,49063025057.0,59874896470.0,68242327282.0
11,Trả trước người bán,91276429510.0,274993547724.0,43040192200.0,39882894330.0,53688790798.0,45577291611.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,278960420604.0,37617610696.0,29248986653.0,2564380429.0,3960348922.0,3952357288.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",692140727.0,672443965.0,394547272.0,0.0,0.0,0.0
19,Hàng tồn kho,692140727.0,672443965.0,394547272.0,0.0,0.0,0.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,10855096066.0,18902854107.0,2686882485.0,4505159752.0,18265441367.0,2371760809.0
22,Trả trước ngắn hạn,44625454.0,286395265.0,374446250.0,201685562.0,12610108782.0,1643426690.0
23,Thuế VAT phải thu,10810470612.0,18616458842.0,1413588252.0,4303474190.0,5655332585.0,728334119.0
24,Phải thu thuế khác,0.0,0.0,898847983.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,1705811429181.0,2342645962900.0,3822064485191.0,4623434381307.0,4593922207859.0,4402891649151.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
