,CHỈ TIÊU,2017,2018,2019,2020,2021,2022
0,Doanh số,294076712869.0,270561645685.0,269411018898.0,495852606563.0,661346377050.0,808703629721.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,294076712869.0,270561645685.0,269411018898.0,495852606563.0,661346377050.0,808703629721.0
3,Giá vốn hàng bán,-59900511552.0,-78787327340.0,-84527933035.0,-171612750911.0,-286078193456.0,-308008931429.0
4,Lãi gộp,234176201317.0,191774318345.0,184883085863.0,324239855652.0,375268183594.0,500694698292.0
5,Thu nhập tài chính,96030871.0,55144072.0,5196886830.0,163385273.0,4266127761.0,129442717.0
6,Chi phí tài chính,-101732896863.0,-87396255516.0,-99523562124.0,-163716453201.0,-208645250651.0,-230399223311.0
7,Trong đó: Chi phí lãi vay,-101732896863.0,-87396255516.0,-99523562124.0,-163716453201.0,-207910574527.0,-191726077614.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-4273298966.0,-7809057429.0,-9519716724.0,-17220227532.0,-21036048837.0,-20905227489.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,128266036359.0,96624149472.0,81036693845.0,143466560192.0,149853011867.0,249519690209.0
12,Thu nhập khác,90909090.0,378587764.0,5000.0,1014636381.0,18182379.0,1014448.0
13,Chi phí khác,-2319183394.0,-4669735099.0,-1375315587.0,-1570730767.0,-7724958628.0,-10646977619.0
14,"Thu nhập khác, ròng",-2228274304.0,-4291147335.0,-1375310587.0,-556094386.0,-7706776249.0,-10645963171.0
16,Lãi/(lỗ) ròng trước thuế,126037762055.0,92333002137.0,79661383258.0,142910465806.0,142146235618.0,238873727038.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,-4256661593.0,-13767285379.0,-8754731008.0,-15753995863.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,-4256661593.0,-13767285379.0,-8754731008.0,-15753995863.0
20,Lãi/(lỗ) thuần sau thuế,126037762055.0,92333002137.0,75404721665.0,129143180427.0,133391504610.0,223119731175.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,126037762055.0,92333002137.0,75404721665.0,129143180427.0,133391504610.0,223119731175.0
23,Lãi cơ bản trên cổ phiếu,1492.11,868.04,600.05,782.36,732.0,1153.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0
