,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,264800567179.0,273676085929.0,357029033633.0,369685784116.0,390152649178.0,588735324160.0,600719705478.0,991979409314.0,1079605282967.0
1,TÀI SẢN NGẮN HẠN,80899907201.0,101132967656.0,122833134301.0,133035987289.0,182457698354.0,341425945424.0,341856374398.0,662151240344.0,749900579285.0
2,Tiền và tương đương tiền,15062778503.0,21418027516.0,14587846318.0,1495882574.0,19669744173.0,19757069423.0,3024779884.0,2213058463.0,2442273584.0
3,Tiền,7962778503.0,5283894094.0,14557346318.0,1495882574.0,14586930668.0,19757069423.0,3024779884.0,2213058463.0,2442273584.0
4,Các khoản tương đương tiền,7100000000.0,16134133422.0,30500000.0,0.0,5082813505.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,62772083.0,0.0,0.0,678528878.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,62772083.0,0.0,0.0,678528878.0,0.0,0.0
9,Các khoản phải thu,51979140297.0,68006139841.0,74509734604.0,101421422780.0,126287275026.0,290431953124.0,311812460690.0,635484543500.0,727283102428.0
10,Phải thu khách hàng,410014400.0,853160000.0,23993882690.0,50053248304.0,78452268985.0,74456155073.0,49809751000.0,37706662973.0,38631464940.0
11,Trả trước người bán,12464783710.0,11750062654.0,12047368455.0,21375359748.0,18851586198.0,154735806162.0,165271186861.0,262697421769.0,266386668755.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,16420755700.0,31223372704.0,8735000000.0,0.0,5000000000.0,21300000000.0,0.0,0.0,54259910500.0
15,Phải thu khác,22683586487.0,24179544483.0,29733483459.0,29992814728.0,25791808466.0,42667383018.0,108467573452.0,345009543161.0,386466980424.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,-1808388623.0,-2727391129.0,-11736050623.0,-9929084403.0,-18461922191.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",8333507195.0,6078789370.0,26126910128.0,22762925848.0,28605817258.0,24245274352.0,18519846756.0,13930491386.0,9713715449.0
19,Hàng tồn kho,8333507195.0,6078789370.0,26126910128.0,22762925848.0,28605817258.0,26482393457.0,22079638754.0,19318897475.0,13375516867.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,-2237119105.0,-3559791998.0,-5388406089.0,-3661801418.0
21,Tài sản lưu động khác,5524481206.0,5630010929.0,7608643251.0,7292984004.0,7894861897.0,6991648525.0,7820758190.0,10523146995.0,10461487824.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,20000000.0,0.0,0.0,28945400.0,214617903.0,2225169.0
23,Thuế VAT phải thu,4851475047.0,4878836943.0,7608643251.0,7272984004.0,7894861897.0,6991648525.0,7791812790.0,9518282920.0,10042039573.0
24,Phải thu thuế khác,673006159.0,751173986.0,0.0,0.0,0.0,0.0,0.0,790246172.0,417223082.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,183900659978.0,172543118273.0,234195899332.0,236649796827.0,207694950824.0,247309378736.0,258863331080.0,329828168970.0,329704703682.0
28,Phải thu dài hạn,29544000000.0,29994000000.0,75509604000.0,68640000000.0,23177593924.0,31625147716.0,30019510814.0,52720492905.0,52820640637.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,5000000000.0,26300000000.0,0.0,0.0
34,Phải thu dài hạn khác,29544000000.0,29994000000.0,75509604000.0,68640000000.0,23177593924.0,26625147716.0,3719510814.0,52720492905.0,52820640637.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,24729145152.0,19777880321.0,41361118008.0,44837523551.0,42766754998.0,40632023898.0,37215851835.0,23068487061.0,21547596974.0
37,GTCL TSCĐ hữu hình,23052473790.0,18116308959.0,39529719107.0,44837523551.0,42766754998.0,40555183499.0,37152073940.0,22516461428.0,21058416703.0
38,Nguyên giá TSCĐ hữu hình,26534235874.0,22585034965.0,45049241271.0,52716292009.0,53941473827.0,55154633827.0,55154633827.0,39195789855.0,39527564747.0
39,Khấu hao lũy kế TSCĐ hữu hình,-3481762084.0,-4468726006.0,-5519522164.0,-7878768458.0,-11174718829.0,-14599450328.0,-18002559887.0,-16679328427.0,-18469148044.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,1676671362.0,1661571362.0,1831398901.0,0.0,0.0,76840399.0,63777895.0,552025633.0,489180271.0
44,Nguyên giá TSCĐ vô hình,1797714000.0,1797714000.0,1983035000.0,0.0,0.0,86500000.0,86500000.0,2086500000.0,2122500000.0
45,Khấu hao lũy kế TSCĐ vô hình,-121042638.0,-136142638.0,-151636099.0,0.0,0.0,-9659601.0,-22722105.0,-1534474367.0,-1633319729.0
46,Bất động sản đầu tư,4398825674.0,4329981977.0,4261138280.0,5513993408.0,5370354472.0,5226715540.0,5083076608.0,4939437676.0,4795798744.0
47,Nguyên giá tài sản đầu tư,4883231474.0,4883231474.0,4883231474.0,6605445474.0,6605445474.0,6605445474.0,6605445474.0,6605445474.0,6605445474.0
48,Khấu hao lũy kế tài sản đầu tư,-484405800.0,-553249497.0,-622093194.0,-1091452066.0,-1235091002.0,-1378729934.0,-1522368866.0,-1666007798.0,-1809646730.0
49,Tài sản dở dang dài hạn,121789958959.0,116338964023.0,111094755012.0,115790400538.0,118544809876.0,132134177750.0,153117837001.0,161563581652.0,172536597756.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",121554611159.0,116338964023.0,111094755012.0,115775400538.0,118529809876.0,132119177750.0,148754633012.0,161563581652.0,172536597756.0
52,Đầu tư dài hạn,652500000.0,652500000.0,0.0,0.0,16519654166.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,16519654166.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,652500000.0,652500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,2786230193.0,1449791952.0,1969284032.0,1867879330.0,1315783388.0,37691313832.0,33427054822.0,87536169676.0,78004069571.0
59,Trả trước dài hạn,2786230193.0,1449791952.0,1969284032.0,1867879330.0,1315783388.0,806732390.0,529995699.0,14522721125.0,13870221565.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,242034319907.0,249423437731.0,199716578632.0,203573230794.0,191441882378.0,215641052169.0,213243141474.0,185198594703.0,270529247088.0
