,CHỈ TIÊU,Q1 2016,Q2 2016,Q3 2016,Q2 2017
0,TỔNG TÀI SẢN,47975583832.0,45002825409.0,47856238017.0,47818941726.0
1,TÀI SẢN NGẮN HẠN,35355522665.0,32950006644.0,35754664045.0,37151691202.0
2,Tiền và tương đương tiền,10823968670.0,15743324977.0,14875947178.0,13231345014.0
3,Tiền,10823968670.0,15743324977.0,14875947178.0,2480871562.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,10750473452.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,270000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,270000000.0
9,Các khoản phải thu,22135608359.0,15923597252.0,16079423849.0,18783282093.0
10,Phải thu khách hàng,23420773735.0,17205880324.0,16898184054.0,20091519847.0
11,Trả trước người bán,0.0,0.0,0.0,0.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0
15,Phải thu khác,203186184.0,206068488.0,669591355.0,273681826.0
16,Dự phòng nợ khó đòi,-1488351560.0,-1488351560.0,-1488351560.0,-1581919580.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",2136484240.0,1059995762.0,4485822619.0,4625803919.0
19,Hàng tồn kho,2136484240.0,1059995762.0,4485822619.0,4625803919.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,259461396.0,223088653.0,313470399.0,241260176.0
22,Trả trước ngắn hạn,259461396.0,223088653.0,202454061.0,241260176.0
23,Thuế VAT phải thu,0.0,0.0,111016338.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,12620061167.0,12052818765.0,12101573972.0,10667250524.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0
36,Tài sản cố định,7905115439.0,7355831169.0,8435774122.0,8560596725.0
37,GTCL TSCĐ hữu hình,7905115439.0,7355831169.0,8435774122.0,8560596725.0
38,Nguyên giá TSCĐ hữu hình,17435491368.0,17435491368.0,19074518640.0,21026736595.0
39,Khấu hao lũy kế TSCĐ hữu hình,-9530375929.0,-10079660199.0,-10638744518.0,-12466139870.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,25598827.0,548754545.0,118073319.0,32603146.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,4689346901.0,4148233051.0,3547726531.0,2074050653.0
59,Trả trước dài hạn,4689346901.0,4148233051.0,3547726531.0,2074050653.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,6601316898.0,4891635310.0,7353358442.0,6129345500.0
65,Nợ ngắn hạn,6601316898.0,4891635310.0,7353358442.0,6129345500.0
66,Phải trả người bán,1977059609.0,1341011764.0,1278267264.0,1428339920.0
67,Người mua trả tiền trước,111166000.0,360268.0,1367477780.0,900334456.0
68,Thuế và các khoản phải trả Nhà nước,915397037.0,1419366982.0,1346488363.0,1296127937.0
69,Phải trả người lao động,1833522207.0,453400760.0,691555618.0,1154376659.0
70,Chi phí phải trả,1640000.0,0.0,1013433506.0,137157372.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0
