,CHỈ TIÊU,Q3 2015,Q1 2016,Q3 2016
0,Doanh số,8347260628.0,9966385544.0,9205773863.0
1,Các khoản giảm trừ,0.0,0.0,0.0
2,Doanh số thuần,8347260628.0,9966385544.0,9205773863.0
3,Giá vốn hàng bán,-5435077458.0,-6373769504.0,-7294365425.0
4,Lãi gộp,2912183170.0,3592616040.0,1911408438.0
5,Thu nhập tài chính,3435638.0,29031556.0,153800391.0
6,Chi phí tài chính,-967010.0,-500000.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-2489466534.0,-1578391267.0,-1553300770.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,425185264.0,2042756329.0,511908059.0
12,Thu nhập khác,153919999.0,0.0,2600000.0
13,Chi phí khác,-67166733.0,0.0,0.0
14,"Thu nhập khác, ròng",86753266.0,0.0,2600000.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,511938530.0,2042756329.0,514508059.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-129339219.0,-423951266.0,-111365612.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-129339219.0,-423951266.0,-111365612.0
20,Lãi/(lỗ) thuần sau thuế,382599311.0,1618805063.0,403142447.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,382599311.0,1618805063.0,403142447.0
23,Lãi cơ bản trên cổ phiếu,106.0,0.0,112.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0
