,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,330350933844.0,412607274321.0,679528668596.0,789633569795.0,965902814772.0,1546927125282.0,1578696957105.0,1762091595441.0,2526696305277.0
1,TÀI SẢN NGẮN HẠN,184875954635.0,260199072866.0,507835176085.0,624722880664.0,775784299814.0,1191983061305.0,968201415794.0,1196236693916.0,1733807215727.0
2,Tiền và tương đương tiền,2238239228.0,16386357723.0,9082072979.0,13102604317.0,29209095924.0,29693630393.0,39582976464.0,55474603075.0,74549476681.0
3,Tiền,2238239228.0,16386357723.0,9082072979.0,13102604317.0,29209095924.0,29693630393.0,39582976464.0,48474603075.0,74549476681.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,107892543733.0,137550749462.0,213892616854.0,350149334821.0,535360181890.0,688404360427.0,621106831585.0,806737742258.0,1142805951570.0
10,Phải thu khách hàng,75255816759.0,114603862527.0,171669032026.0,153709892251.0,287994004328.0,275146921633.0,268031858871.0,227221874252.0,563615245448.0
11,Trả trước người bán,6692716170.0,5373725764.0,11850840487.0,13675423862.0,46363681261.0,39698475259.0,19027442215.0,162846914790.0,134147325327.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,27738571526.0,21091384678.0,30122103235.0,182377096329.0,200921922968.0,373472393355.0,333878494338.0,416497749943.0,448474717744.0
16,Dự phòng nợ khó đòi,-3356161162.0,-5026862285.0,-121456544.0,0.0,0.0,0.0,0.0,0.0,-3570151900.0
17,Tài sản thiếu chờ xử lý,1561600440.0,1508638778.0,372097650.0,386922379.0,80573333.0,86570180.0,169036161.0,171203273.0,138814951.0
18,"Hàng tồn kho, ròng",71816379719.0,103624452127.0,269370905216.0,252509906039.0,207386079748.0,455674496002.0,299345762083.0,325137984316.0,476408772126.0
19,Hàng tồn kho,73970349929.0,105778422337.0,270691459703.0,252736623027.0,208211893993.0,456500310247.0,299345762083.0,325555469223.0,481352056681.0
20,Dự phòng giảm giá HTK,-2153970210.0,-2153970210.0,-1320554487.0,-226716988.0,-825814245.0,-825814245.0,0.0,-417484907.0,-4943284555.0
21,Tài sản lưu động khác,2928791955.0,2637513554.0,15489581036.0,8961035487.0,3828942252.0,18210574483.0,8165845662.0,8886364267.0,40043015350.0
