,CHỈ TIÊU,2006,2007,2008,2011,2012,2013,2014,2015,2016
0,Doanh số,212833139262.0,170971856067.0,180068597631.0,220171329431.0,231951543566.0,161103210044.0,116612652405.0,532798457258.0,143646668560.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,212833139262.0,170971856067.0,180068597631.0,220171329431.0,231951543566.0,161103210044.0,116612652405.0,532798457258.0,143646668560.0
3,Giá vốn hàng bán,-201679900574.0,-159733501028.0,-158923440539.0,-199752419178.0,-216505565426.0,-158442085217.0,-109348950393.0,-515813129413.0,-120301150190.0
4,Lãi gộp,11153238688.0,11238355039.0,21145157092.0,20418910253.0,15445978140.0,2661124827.0,7263702012.0,16985327845.0,23345518370.0
5,Thu nhập tài chính,383887264.0,1073966794.0,844197716.0,1041141896.0,5921979283.0,2572437025.0,633616454.0,211180570.0,2467052775.0
6,Chi phí tài chính,-2144334869.0,-1694931258.0,-5898258634.0,-8656556143.0,-4496385311.0,-1380023027.0,-1934623938.0,-8323515768.0,-15502851317.0
7,Trong đó: Chi phí lãi vay,-1933789872.0,-1633215681.0,-2891464935.0,-5279965464.0,-4468775236.0,-1189047087.0,-1859562033.0,-3086257467.0,-14774585763.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-286994542.0,-355658326.0,-392602493.0,-1012254138.0,-1011510560.0,-360387907.0,-76184524.0,-328182.0,-18000000.0
10,Chi phí quản lý doanh  nghiệp,-7653258649.0,-14250884162.0,-17345519772.0,-10590037905.0,-15960360100.0,-3374594807.0,-5597265042.0,-7909303176.0,-9103767594.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1452537892.0,-3989151913.0,-1647026091.0,1201203963.0,-100298548.0,118556111.0,289244962.0,963361289.0,1187952234.0
12,Thu nhập khác,566329472.0,8140095569.0,5065168628.0,2730672.0,1034100325.0,3120095193.0,2511771557.0,2077272727.0,18292743155.0
13,Chi phí khác,-305304754.0,-1148595385.0,-484229734.0,-687402029.0,-10000000.0,-2821932264.0,-1656322958.0,-1045712497.0,-7435449369.0
14,"Thu nhập khác, ròng",261024718.0,6991500184.0,4580938894.0,-684671357.0,1024100325.0,298162929.0,855448599.0,1031560230.0,10857293786.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1713562610.0,3002348271.0,2933912803.0,516532606.0,923801777.0,416719040.0,1144693561.0,1994921519.0,12045246020.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-3718285483.0,0.0,0.0,-569435909.0,-255506009.0,-275356666.0,-769169512.0,-3795251634.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,3243558960.0,-806719964.0,-1250000.0,0.0,-10000000.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-474726523.0,-806719964.0,-1250000.0,-569435909.0,-265506009.0,-275356666.0,-769169512.0,-3795251634.0
20,Lãi/(lỗ) thuần sau thuế,1713562610.0,2527621748.0,2127192839.0,515282606.0,354365868.0,151213031.0,869336895.0,1225752007.0,8249994386.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1713562610.0,2527621748.0,2127192839.0,515282606.0,354365868.0,151213031.0,869336895.0,1225752007.0,8249994386.0
23,Lãi cơ bản trên cổ phiếu,1430.0,921.0,560.0,136.0,94.0,40.0,230.0,324.0,2178.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
