,Unnamed: 0,2016,2017,2018,2019,2020,2021
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,4755162195.0,-6248425277.0,428593463.0,3817562612.0,532783970.0,1703887453.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,545073599.0,588883454.0,514400559.0,931063690.0,163435164.0,-3728210621.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-294125286.0,0.0,0.0,0.0,-1164157727.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,-10000000000.0,-9590749267.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,10000000000.0,5502896386.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,839198885.0,588883454.0,514400559.0,931063690.0,1327592891.0,359642260.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,0.0,0.0,-551015100.0,-558328590.0,-559902090.0,-548585100.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-551015100.0,-558328590.0,-559902090.0,-548585100.0
37,Lưu chuyển tiền thuần trong kỳ,5300235794.0,-5659541823.0,391978922.0,4190297712.0,136317044.0,-2572908268.0
38,Tiền và tương đương tiền đầu kỳ,7554648318.0,12854884112.0,7195342089.0,7587321011.0,11777618723.0,11913935767.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,12854884112.0,7195342289.0,7587321011.0,11777618723.0,11913935767.0,9341027499.0
