,CHỈ TIÊU,2016,2017,2018,2019,2020,2021
0,Doanh số,43091746031.0,46834518398.0,45150537162.0,53586486671.0,53063222226.0,52136713182.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,43091746031.0,46834518398.0,45150537162.0,53586486671.0,53063222226.0,52136713182.0
3,Giá vốn hàng bán,-38861680548.0,-43566278744.0,-40755770321.0,-47501622447.0,-47092941568.0,-46005984444.0
4,Lãi gộp,4230065483.0,3268239654.0,4394766841.0,6084864224.0,5970280658.0,6130728738.0
5,Thu nhập tài chính,840075949.0,911389772.0,784464559.0,866725690.0,927772891.0,641341260.0
6,Chi phí tài chính,0.0,0.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-5010174894.0,-3621785849.0,-4508435168.0,-5993383584.0,-5725212526.0,-6137941274.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,59966538.0,557843577.0,670796232.0,958206330.0,1172841023.0,634128724.0
12,Thu nhập khác,436414269.0,299060887.0,284984440.0,287222600.0,253207150.0,212584440.0
13,Chi phí khác,-64356676.0,-110000.0,-24079460.0,-58460403.0,-20635000.0,-15600000.0
14,"Thu nhập khác, ròng",372057593.0,298950887.0,260904980.0,228762197.0,232572150.0,196984440.0
16,Lãi/(lỗ) ròng trước thuế,432024131.0,856794464.0,931701212.0,1186968527.0,1405413173.0,831113164.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-99276162.0,-171358893.0,-191156134.0,-249085786.0,-199646744.0,-116355844.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-99276162.0,-171358893.0,-191156134.0,-249085786.0,-199646744.0,-116355844.0
20,Lãi/(lỗ) thuần sau thuế,332747969.0,685435571.0,740545078.0,937882741.0,1205766429.0,714757320.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,332747969.0,685435571.0,740545078.0,937882741.0,1205766429.0,714757320.0
23,Lãi cơ bản trên cổ phiếu,0.0,160.67,300.0,325.0,467.0,214.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0
