,CHỈ TIÊU,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018
0,Doanh số,233465889041.0,259919626761.0,266579868488.0,467265912242.0,165650533929.0
1,Các khoản giảm trừ,-103932630.0,-755458452.0,-772077500.0,-162693169.0,-374905541.0
2,Doanh số thuần,233361956411.0,259164168309.0,265807790988.0,467103219073.0,165275628388.0
3,Giá vốn hàng bán,-210535852284.0,-231015762026.0,-238401405966.0,-432575290793.0,-141551076334.0
4,Lãi gộp,22826104127.0,28148406283.0,27406385022.0,34527928280.0,23724552054.0
5,Thu nhập tài chính,200376716.0,217588127.0,250082437.0,81580528.0,426844078.0
6,Chi phí tài chính,-5353078687.0,-6542781100.0,-6457714162.0,-9060322407.0,-5202850079.0
7,Trong đó: Chi phí lãi vay,-5016799065.0,-5159251850.0,-5671135130.0,-8500441732.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,1265070000.0,318257378.0,1803777622.0,1610382855.0,861623000.0
9,Chi phí bán hàng,-6933441514.0,-7446649417.0,-7067616871.0,-13806360276.0,-9171220352.0
10,Chi phí quản lý doanh  nghiệp,-8073888969.0,-9086105069.0,-8592493982.0,-6330795542.0,-7455018959.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,3931141673.0,5608716202.0,7342420066.0,7022413438.0,3183929742.0
12,Thu nhập khác,21669.0,919127.0,119340.0,280294709.0,318794873.0
13,Chi phí khác,-187679.0,-37691049.0,-9534158.0,-18697681.0,-560991991.0
14,"Thu nhập khác, ròng",-166010.0,-36771922.0,-9414818.0,261597028.0,-242197118.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,3930975663.0,5571944280.0,7333005248.0,7284010466.0,2941732624.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-530183124.0,-1270830052.0,-1108565275.0,-1214491444.0,-459260175.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,-107295129.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-530183124.0,-1378125181.0,-1108565275.0,-1214491444.0,-459260175.0
20,Lãi/(lỗ) thuần sau thuế,3400792539.0,4193819099.0,6224439973.0,6069519022.0,2482472449.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3400792539.0,4193819099.0,6224439973.0,6069519022.0,2482472449.0
23,Lãi cơ bản trên cổ phiếu,262.0,322.2,479.0,394.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0
