,Unnamed: 0,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-19044125580.0,58698872114.0,-86779086104.0,31998095634.0,-61965395094.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0,0.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0,0.0
3,Khấu hao TSCĐ,3386528447.0,0.0,0.0,0.0,0.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,0.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0,0.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,0.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0,0.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-407461110.0,4365346030.0,2352479811.0,-6891482898.0,219494279.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-512600000.0,-450561960.0,-1419161960.0,-1978661873.0,-218206000.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,545455.0,0.0,0.0,350000000.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,105138890.0,4815362535.0,3771641771.0,-4912821025.0,87700279.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-16920820956.0,-8179675347.0,17312231189.0,15875167416.0,47866150970.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,189013928442.0,329534177023.0,257906176223.0,360620170918.0,302080965623.0
33,Tiển trả các khoản đi vay,-201689674398.0,-337380842355.0,-234425922534.0,-336179075667.0,-252938449653.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-4245075000.0,-333010015.0,-6168022500.0,-8565927835.0,-1276365000.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-36372407646.0,54884542797.0,-67114375104.0,40981780152.0,-13879749845.0
38,Tiền và tương đương tiền đầu kỳ,59689841925.0,23317434279.0,78201977076.0,11087601972.0,52069382124.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,23317434279.0,78201977076.0,11087601972.0,52069382124.0,38189632279.0
