,CHỈ TIÊU,Q4 2013,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018
0,TỔNG TÀI SẢN,701882236063.0,988991839733.0,902110553504.0,927633811408.0,950450081875.0,1065185276173.0
1,TÀI SẢN NGẮN HẠN,587424585749.0,885158062901.0,805479539311.0,830825907821.0,852159161484.0,969029770597.0
2,Tiền và tương đương tiền,62758487016.0,23317434279.0,78201977076.0,11087601972.0,52069382124.0,38189632279.0
3,Tiền,62758487016.0,23317434279.0,78201977076.0,11087601972.0,52069382124.0,38189632279.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,2850000000.0,2850000000.0,2850000000.0,2850000000.0,2850000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,2850000000.0,2850000000.0,2850000000.0,2850000000.0,2850000000.0
9,Các khoản phải thu,394265707862.0,599225056395.0,481373880924.0,604281317955.0,568743272287.0,621788197748.0
10,Phải thu khách hàng,368108353695.0,523574276369.0,420225035664.0,446332299915.0,479898268665.0,465659821354.0
11,Trả trước người bán,19283530551.0,64373702308.0,53621787166.0,148208738184.0,82223225616.0,145093379900.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,6959286394.0,12197344445.0,8669876506.0,11117922209.0,8388582677.0,12801801165.0
16,Dự phòng nợ khó đòi,-85462778.0,-920266727.0,-1142818412.0,-1377642353.0,-1766804671.0,-1766804671.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",112324905320.0,244370359917.0,229209104151.0,202093518168.0,216610862958.0,289782306658.0
19,Hàng tồn kho,112324905320.0,244370359917.0,229209104151.0,202093518168.0,216610862958.0,289782306658.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,18075485551.0,15395212310.0,13844577160.0,10513469726.0,11885644115.0,16419633912.0
22,Trả trước ngắn hạn,2760581238.0,1750023584.0,607832836.0,714496954.0,460592326.0,813625806.0
23,Thuế VAT phải thu,4898893105.0,13635036209.0,13221024527.0,9791829683.0,11423458519.0,15596664840.0
24,Phải thu thuế khác,8518847.0,10152517.0,15719797.0,7143089.0,1593270.0,9343266.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,10407492361.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,114457650314.0,103833776832.0,96631014193.0,96807903587.0,98290920391.0,96155505576.0
28,Phải thu dài hạn,0.0,1824397040.0,1824397040.0,1824397040.0,1824397040.0,1824397040.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,1824397040.0,1824397040.0,1824397040.0,1824397040.0,1824397040.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,90496070603.0,72365340876.0,69949114830.0,68254911752.0,67525806421.0,64585508890.0
37,GTCL TSCĐ hữu hình,89681409663.0,71937032244.0,69480200651.0,67818181067.0,67121259240.0,64212675152.0
38,Nguyên giá TSCĐ hữu hình,161305742136.0,175035703312.0,175158109976.0,176289709976.0,178196371849.0,176214726829.0
39,Khấu hao lũy kế TSCĐ hữu hình,-71624332473.0,-103098671068.0,-105677909325.0,-108471528909.0,-111075112609.0,-112002051677.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,814660940.0,428308632.0,468914179.0,436730685.0,404547181.0,372833738.0
44,Nguyên giá TSCĐ vô hình,1459179546.0,913725000.0,985725000.0,985725000.0,985725000.0,985725000.0
45,Khấu hao lũy kế TSCĐ vô hình,-644518606.0,-485416368.0,-516810821.0,-548994315.0,-581177819.0,-612891262.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,20469488791.0,25864611514.0,21436391892.0,23240392690.0,24850552369.0,25712398545.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,20447488791.0,25842611514.0,21414391892.0,23218392690.0,24828552369.0,25690398545.0
55,Đầu tư dài hạn khác,22000000.0,22000000.0,22000000.0,22000000.0,22000000.0,22000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,3492090920.0,3779427402.0,3421110431.0,3488202105.0,4090164561.0,4033201101.0
59,Trả trước dài hạn,2480140920.0,3779427402.0,3421110431.0,3488202105.0,4090164561.0,4033201101.0
60,Thuế thu nhập hoãn lại phải thu,1011950000.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,556648694007.0,819596353321.0,742459331097.0,761652975694.0,778401848944.0,888954171485.0
65,Nợ ngắn hạn,554332423827.0,817361901321.0,740192583968.0,759493523694.0,776242396944.0,886794719485.0
66,Phải trả người bán,262685210299.0,234119632569.0,169024179250.0,151403735672.0,185943298032.0,212411167119.0
67,Người mua trả tiền trước,36712477141.0,138736618688.0,121104838287.0,134874130209.0,119332606777.0,153514358428.0
68,Thuế và các khoản phải trả Nhà nước,1738657665.0,696251985.0,1607192625.0,2424478019.0,3679915276.0,3937917910.0
69,Phải trả người lao động,3290460263.0,1575931706.0,2556507773.0,2855238409.0,4794461197.0,2395487619.0
70,Chi phí phải trả,514798466.0,143772015.0,155743204.0,146307624.0,269034970.0,180653221.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,85183676551.0,22352008383.0,37252360184.0,29624525792.0,21605847612.0,24758776551.0
75,Vay ngắn hạn,164207143442.0,419737685975.0,408010837833.0,437833443757.0,440343368868.0,489485884838.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,480924812.0,331664212.0,273864212.0,110473799.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,2316270180.0,2234452000.0,2266747129.0,2159452000.0,2159452000.0,2159452000.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,81818180.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,2234452000.0,1934452000.0,1934452000.0,1934452000.0,1934452000.0,1934452000.0
88,Vay dài hạn,0.0,300000000.0,225000000.0,225000000.0,225000000.0,225000000.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,107295129.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,145233542056.0,169395486412.0,159651222407.0,165980835714.0,172048232931.0,174528612648.0
96,Vốn và các quỹ,145145197608.0,169330471815.0,159588329605.0,165920064707.0,171989583729.0,174472056178.0
97,Vốn góp,130000000000.0,130000000000.0,130000000000.0,130000000000.0,130000000000.0,130000000000.0
98,Cổ phiếu phổ thông,130000000000.0,130000000000.0,130000000000.0,130000000000.0,130000000000.0,130000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,0.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,2490185518.0,14845328577.0,16717251196.0,16717251196.0,16717251196.0,16717251196.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,2513074660.0,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,9841937430.0,24185143238.0,12571078409.0,18902813511.0,24972332533.0,27454804982.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,4976466771.0,18902813511.0,4976466771.0,0.0
112,LNST chưa phân phối kỳ này,9841937430.0,24185143238.0,7594611638.0,0.0,19995865762.0,27454804982.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,88344448.0,65014597.0,62892802.0,60771007.0,58649202.0,56556470.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,88344448.0,65014597.0,62892802.0,60771007.0,58649202.0,56556470.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,701882236063.0,988991839733.0,902110553504.0,927633811408.0,950450081875.0,1063482784133.0
