,Unnamed: 0,Q1 2009,Q1 2010,Q2 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q2 2012
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-297539437.0,11141498171.0,3005680768.0,2690960901.0,5453536789.0,-453050978.0,3193370374.0,6076073458.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,793614335.0,0.0,3025204394.0,1338926343.0,2052237356.0,1898354694.0,849849195.0,0.0
2,Lãi trước thuế,457432496.0,0.0,1864534460.0,1152197764.0,1967876332.0,1762337940.0,1012365205.0,0.0
3,Khấu hao TSCĐ,310334800.0,0.0,1015413139.0,91574540.0,109449540.0,109449540.0,109449538.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,-49964122.0,0.0,-114975145.0,-30430349.0,-399924384.0,0.0
9,Chi phí lãi vay,25847039.0,0.0,195220917.0,0.0,185040668.0,56997563.0,127958836.0,0.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,95154039.0,-95154039.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,2855480316.0,0.0,932839402.0,2676187607.0,-1830250941.0,4196534221.0,-3048860366.0,0.0
13,(Tăng)/giảm hàng tồn kho,-1222069186.0,0.0,-65809480.0,852856757.0,3893574053.0,-3678439608.0,2297051245.0,0.0
14,Tăng/(giảm) các khoản phải trả,-3264067684.0,0.0,-557301374.0,-1891667229.0,1502456875.0,-2829163774.0,3439714622.0,0.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-25847039.0,0.0,-195220917.0,-95154039.0,-108345582.0,-38538610.0,-127958836.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,-33942034.0,0.0,-134031257.0,-84653057.0,-146870453.0,0.0,-152898389.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,599291855.0,0.0,0.0,-105535481.0,90735481.0,-1797901.0,-63527097.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,3731290.0,0.0,49964122.0,13200763.0,-41225618.0,30430349.0,-5800075616.0,6165490909.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,0.0,0.0,-143000000.0,0.0,0.0,-34509091.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,-6200000000.0,-7570750000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13770750000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,3731290.0,0.0,49964122.0,13200763.0,101774382.0,30430349.0,399924384.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,1086325084.0,0.0,-7111038684.0,-2525118375.0,-3051526000.0,-2000730089.0,5168661169.0,-14726158388.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,-348412080.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,7960186116.0,0.0,15388528501.0,3268266000.0,6421069075.0,2340453851.0,6645278769.0,0.0
33,Tiển trả các khoản đi vay,-6873861032.0,0.0,-19294655105.0,-5793384375.0,-5901970075.0,-4341183940.0,-1476617600.0,-14726158388.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-2856500000.0,0.0,-3570625000.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,792516937.0,11141498171.0,-4055393794.0,179043289.0,2360785171.0,-2423350718.0,2561955927.0,-2484594021.0
38,Tiền và tương đương tiền đầu kỳ,58916332.0,0.0,4242850758.0,34779272.0,213822561.0,2574607732.0,151257014.0,2713212941.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,851433269.0,11141498171.0,187456964.0,213822561.0,2574607732.0,151257014.0,2713212941.0,228618920.0
