,CHỈ TIÊU,Q2 2011,Q3 2011,Q4 2011,Q4 2011.1,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013
0,Doanh số,13054399970.0,14728170777.0,12590527840.0,12590527840.0,16226920400.0,8620594600.0,9249324460.0,14383810920.0,14383810920.0,6186997260.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,13054399970.0,14728170777.0,12590527840.0,12590527840.0,16226920400.0,8620594600.0,9249324460.0,14383810920.0,14383810920.0,6186997260.0
3,Giá vốn hàng bán,-10744298517.0,-12516782624.0,-11346502203.0,-11346502203.0,-15067601172.0,-7378153971.0,-8688504948.0,-13446984800.0,-13446984800.0,-5611447746.0
4,Lãi gộp,2310101453.0,2211388153.0,1244025637.0,1244025637.0,1159319228.0,1242440629.0,560819512.0,936826120.0,936826120.0,575549514.0
5,Thu nhập tài chính,191005982.0,30430349.0,374173114.0,374173114.0,178269732.0,100826329.0,1717495.0,75104665.0,75104665.0,167663692.0
6,Chi phí tài chính,-89886629.0,-38538610.0,-146417789.0,-146417789.0,-84431022.0,-26052478.0,-50187028.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,-89886629.0,0.0,-146417789.0,-146417789.0,-84431022.0,-26052478.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-226879825.0,-197417600.0,-206134871.0,-206134871.0,-155184611.0,-82289571.0,-143768571.0,-204148750.0,-204148750.0,-92602500.0
10,Chi phí quản lý doanh  nghiệp,-215016748.0,-219874886.0,-276930352.0,-276930352.0,-145410423.0,-375376147.0,-220328806.0,-234405847.0,-234405847.0,-165618590.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1969324233.0,1785987406.0,988715739.0,988715739.0,952562904.0,859548762.0,148252602.0,573376188.0,573376188.0,484992116.0
12,Thu nhập khác,0.0,0.0,0.0,0.0,72727273.0,0.0,0.0,0.0,0.0,0.0
13,Chi phí khác,-1447901.0,0.0,0.0,0.0,0.0,-9773800.0,0.0,0.0,0.0,-3350000.0
14,"Thu nhập khác, ròng",-1447901.0,0.0,0.0,0.0,72727273.0,-9773800.0,0.0,0.0,0.0,-3350000.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1967876332.0,1785987406.0,988715739.0,988715739.0,1025290177.0,849774962.0,148252602.0,573376188.0,573376188.0,481642116.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-151012726.0,-133949055.0,11623979.0,11623979.0,-69396763.0,-64828947.0,-7783262.0,-30102249.0,-30102249.0,-121639456.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,-5980000.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-151012726.0,-133949055.0,11623979.0,11623979.0,-69396763.0,-70808947.0,-7783262.0,-30102249.0,-30102249.0,-121639456.0
20,Lãi/(lỗ) thuần sau thuế,1816863606.0,1652038351.0,1000339718.0,1000339718.0,955893414.0,778966015.0,140469340.0,543273939.0,543273939.0,360002660.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1816863606.0,1652038351.0,1000339718.0,1000339718.0,955893414.0,778966015.0,140469340.0,543273939.0,543273939.0,360002660.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
