,CHỈ TIÊU,Q1 2011,Q2 2011,Q3 2011,Q1 2012,Q2 2015
0,TỔNG TÀI SẢN,34913101906.0,39302610126.0,56076636308.0,40270958341.0,49321080924.0
1,TÀI SẢN NGẮN HẠN,23591534810.0,28482600510.0,45614546156.0,30896884972.0,42904991843.0
2,Tiền và tương đương tiền,581899265.0,1851918248.0,10778435610.0,1341373127.0,2137280687.0
3,Tiền,581899265.0,1851918248.0,10778435610.0,1341373127.0,2137280687.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,13027742450.0,15883205047.0,21997369045.0,15886495572.0,21620364051.0
10,Phải thu khách hàng,10698873356.0,13322666865.0,15187755908.0,14520340165.0,16385113502.0
11,Trả trước người bán,1949572086.0,2246913431.0,6566011989.0,1001079893.0,3130607675.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,379297008.0,313624751.0,243601148.0,365075514.0,2104642874.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",9667888681.0,10128649203.0,11534253285.0,12057453133.0,17470211706.0
19,Hàng tồn kho,9667888681.0,10128649203.0,11534253285.0,12057453133.0,17470211706.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,314004414.0,618828012.0,1304488216.0,1611563140.0,1677135399.0
22,Trả trước ngắn hạn,0.0,4651000.0,5951446.0,246468125.0,6000000.0
23,Thuế VAT phải thu,0.0,250910461.0,676558772.0,627364437.0,916168066.0
24,Phải thu thuế khác,0.0,0.0,175630658.0,79367698.0,60708660.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,314004414.0,363266551.0,446347340.0,658362880.0,694258673.0
27,TÀI SẢN DÀI HẠN,11321567096.0,10820009616.0,10462090152.0,9374073369.0,6416089081.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,11205317096.0,10742509616.0,10363340152.0,9374073369.0,6416089081.0
37,GTCL TSCĐ hữu hình,10994605317.0,10541782658.0,10172598015.0,9203300874.0,6373619329.0
38,Nguyên giá TSCĐ hữu hình,26470905390.0,26525408263.0,26662764445.0,26679028081.0,27016864976.0
39,Khấu hao lũy kế TSCĐ hữu hình,-15476300073.0,-15983625605.0,-16490166430.0,-17475727207.0,-20643245647.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,210711779.0,200726958.0,190742137.0,170772495.0,42469752.0
44,Nguyên giá TSCĐ vô hình,399392840.0,399392840.0,399392840.0,399392840.0,399392840.0
45,Khấu hao lũy kế TSCĐ vô hình,-188681061.0,-198665882.0,-208650703.0,-228620345.0,-356923088.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,77500000.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,77500000.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,116250000.0,0.0,98750000.0,0.0,0.0
59,Trả trước dài hạn,116250000.0,0.0,98750000.0,0.0,0.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0
