,CHỈ TIÊU,Q2 2016,Q3 2016,Q4 2016,Q2 2017
0,TỔNG TÀI SẢN,145748391147.0,204314316003.0,260365316950.0,135140813467.0
1,TÀI SẢN NGẮN HẠN,137097131288.0,196717555882.0,253415449401.0,128175168255.0
2,Tiền và tương đương tiền,27889887317.0,17428028206.0,9134493551.0,29254415516.0
3,Tiền,17389887317.0,6928028206.0,4134493551.0,24254415516.0
4,Các khoản tương đương tiền,10500000000.0,10500000000.0,5000000000.0,5000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0
9,Các khoản phải thu,57523032634.0,105001377941.0,171466936321.0,8040600453.0
10,Phải thu khách hàng,55045645895.0,103408380924.0,169882362215.0,6899059372.0
11,Trả trước người bán,97021786.0,93918600.0,191238600.0,78000000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0
15,Phải thu khác,2380364953.0,1499078417.0,1393335506.0,1063541081.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",25133888411.0,32961492099.0,71032819529.0,16615679618.0
19,Hàng tồn kho,25133888411.0,32961492099.0,71032819529.0,16615679618.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,26550322926.0,41326657636.0,1781200000.0,74264472668.0
22,Trả trước ngắn hạn,26550322926.0,40487209256.0,1781200000.0,73264930302.0
23,Thuế VAT phải thu,0.0,839448380.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,999542366.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,8651259859.0,7596760121.0,6949867549.0,6965645212.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0
36,Tài sản cố định,7873296428.0,7077432585.0,6521718752.0,6699432467.0
37,GTCL TSCĐ hữu hình,6781060546.0,6124511699.0,5510277180.0,5867020839.0
38,Nguyên giá TSCĐ hữu hình,19718495559.0,19898584559.0,20087494559.0,22052614559.0
39,Khấu hao lũy kế TSCĐ hữu hình,-12937435013.0,-13774072860.0,-14577217379.0,-16185593720.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,1092235882.0,952920886.0,1011441572.0,832411628.0
44,Nguyên giá TSCĐ vô hình,2697088000.0,2697088000.0,2898488000.0,3065069818.0
45,Khấu hao lũy kế TSCĐ vô hình,-1604852118.0,-1744167114.0,-1887046428.0,-2232658190.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0
