,Unnamed: 0,Q3 2016,Q4 2016
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-10307667260.0,-13744169091.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,2998040909.0,569990102.0
2,Lãi trước thuế,2047985215.0,-35089295.0
3,Khấu hao TSCĐ,975952843.0,946023833.0
4,Phân bổ lợi thế thương mại,0.0,0.0
5,Chi phí dự phòng,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-25897149.0,-340944436.0
9,Chi phí lãi vay,0.0,0.0
10,Thu lãi và cổ tức,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-48317793687.0,-65626110000.0
13,(Tăng)/giảm hàng tồn kho,-7827603688.0,-38071327430.0
14,Tăng/(giảm) các khoản phải trả,57016788794.0,57017260998.0
15,( Tăng)/giảm chi phí trả trước,-13678250435.0,38797187995.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,-8615253.0,-409597043.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-490233900.0,-6021573713.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-154191851.0,5450634436.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-180089000.0,-390310000.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,-10000000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,15500000000.0
28,Cổ tức và tiền lãi nhận được,25897149.0,340944436.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,0.0,0.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0
33,Tiển trả các khoản đi vay,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0
35,Cổ tức đã trả,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-10461859111.0,-8293534655.0
38,Tiền và tương đương tiền đầu kỳ,27889887317.0,17428028206.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,17428028206.0,9134493551.0
