,CHỈ TIÊU,Q3 2015,Q3 2016,Q4 2016
0,Doanh số,53482670626.0,141839106821.0,215007010899.0
1,Các khoản giảm trừ,0.0,-947012791.0,0.0
2,Doanh số thuần,53482670626.0,140892094030.0,215007010899.0
3,Giá vốn hàng bán,-52751587339.0,-136863943591.0,-212756305235.0
4,Lãi gộp,731083287.0,4028150439.0,2250705664.0
5,Thu nhập tài chính,468774374.0,25897149.0,340944436.0
6,Chi phí tài chính,-7316077.0,-13593247.0,-14344887.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,-77670000.0
10,Chi phí quản lý doanh  nghiệp,-1233282863.0,-1927139498.0,-2643004416.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-40741279.0,2113314843.0,-143369203.0
12,Thu nhập khác,133140008.0,95600372.0,141959843.0
13,Chi phí khác,-46120000.0,-160930000.0,-33679935.0
14,"Thu nhập khác, ròng",87020008.0,-65329628.0,108279908.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,46278729.0,2047985215.0,-35089295.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-10181320.0,-409597043.0,-58982141.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-10181320.0,-409597043.0,-58982141.0
20,Lãi/(lỗ) thuần sau thuế,36097409.0,1638388172.0,-94071436.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,36097409.0,1638388172.0,-94071436.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0
