,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021
0,TỔNG TÀI SẢN,220121141976.0,204226059550.0,215974975031.0,249428151513.0,216724470227.0,195813441216.0,184884588205.0
1,TÀI SẢN NGẮN HẠN,189566960158.0,173201732078.0,187449604533.0,221531149146.0,191310096918.0,172615936858.0,161707022547.0
2,Tiền và tương đương tiền,47115389220.0,35510854502.0,30461795610.0,45820375280.0,31256726108.0,25827462307.0,20585564805.0
3,Tiền,42915389220.0,35510854502.0,29253133425.0,44560105026.0,29138559467.0,24727462307.0,18285564805.0
4,Các khoản tương đương tiền,4200000000.0,0.0,1208662185.0,1260270254.0,2118166641.0,1100000000.0,2300000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,2200000000.0,1263600000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,2200000000.0,1263600000.0
9,Các khoản phải thu,98717272080.0,107607449645.0,114947874511.0,138502063516.0,132753631155.0,116783537781.0,102868386369.0
10,Phải thu khách hàng,57564025816.0,74450142380.0,82502832700.0,99231742846.0,87981550953.0,66625874869.0,61119046008.0
11,Trả trước người bán,13411214056.0,5138690520.0,5947647709.0,7119432360.0,4516381323.0,4660673538.0,8617554007.0
12,Phải thu nội bộ,3389000.0,3389000.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,27738643208.0,28015227745.0,28882609602.0,34593624179.0,42698434748.0,45496989374.0,33131786354.0
16,Dự phòng nợ khó đòi,0.0,0.0,-2385215500.0,-2442735869.0,-2442735869.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",43642803992.0,29966066441.0,41789276890.0,36619701266.0,27225160780.0,27013715855.0,36590720328.0
19,Hàng tồn kho,43642803992.0,29966066441.0,41789276890.0,36619701266.0,27225160780.0,27013715855.0,36590720328.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,91494866.0,117361490.0,250657522.0,589009084.0,74578875.0,791220915.0,398751045.0
22,Trả trước ngắn hạn,0.0,10941662.0,28789546.0,28152732.0,0.0,0.0,4750000.0
23,Thuế VAT phải thu,28491651.0,73282945.0,201867976.0,536202267.0,29596088.0,697828081.0,0.0
24,Phải thu thuế khác,63003215.0,33136883.0,20000000.0,24654085.0,44982787.0,93392834.0,394001045.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,30554181818.0,31024327472.0,28525370498.0,27897002367.0,25414373309.0,23197504358.0,23177565658.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,23817872375.0,24244080618.0,22469044362.0,20409293483.0,18248155633.0,16631641847.0,16776897487.0
37,GTCL TSCĐ hữu hình,23415806380.0,24020172123.0,22355335867.0,20385634578.0,18248155633.0,16631641847.0,16776897487.0
38,Nguyên giá TSCĐ hữu hình,49875012060.0,52227030030.0,52725441734.0,52844672302.0,52544019894.0,52080875069.0,52161873189.0
39,Khấu hao lũy kế TSCĐ hữu hình,-26459205680.0,-28206857907.0,-30370105867.0,-32459037724.0,-34295864261.0,-35449233222.0,-35384975702.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,402065995.0,223908495.0,113708495.0,23658905.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,1094660000.0,1094660000.0,1094660000.0,1094660000.0,1094660000.0,1094660000.0,1094660000.0
45,Khấu hao lũy kế TSCĐ vô hình,-692594005.0,-870751505.0,-980951505.0,-1071001095.0,-1094660000.0,-1094660000.0,-1094660000.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,4818527140.0,4877167497.0,4814327001.0,5100145465.0,5394658299.0,5163352531.0,5115458890.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,3796742834.0,3855383191.0,3792542695.0,3732146159.0,4026658993.0,3795353225.0,3747459584.0
55,Đầu tư dài hạn khác,1021784306.0,1021784306.0,1021784306.0,1367999306.0,1367999306.0,1367999306.0,1367999306.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,1917782303.0,1903079357.0,1241999135.0,2387563419.0,1771559377.0,1402509980.0,1285209281.0
59,Trả trước dài hạn,977741024.0,1089038078.0,427957856.0,1573522140.0,957518098.0,588468701.0,471168002.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",940041279.0,814041279.0,814041279.0,814041279.0,814041279.0,814041279.0,814041279.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,146935306053.0,129176170552.0,140820277936.0,166588830635.0,136648381847.0,118404093264.0,106558123905.0
65,Nợ ngắn hạn,144279759673.0,126520952896.0,132453335913.0,157631429792.0,132440109546.0,115574775050.0,104207714806.0
66,Phải trả người bán,14013135097.0,14201485165.0,13000137519.0,19411881387.0,14940716236.0,22379604806.0,16870159561.0
67,Người mua trả tiền trước,32153636941.0,16611428683.0,18944406415.0,26060996444.0,6986938330.0,9404659610.0,16947382945.0
68,Thuế và các khoản phải trả Nhà nước,8355453061.0,7272751307.0,8251469131.0,9419034140.0,8258740504.0,5554454665.0,4352374118.0
69,Phải trả người lao động,25679891095.0,29603919718.0,22911503770.0,28476667631.0,19629099725.0,15702781828.0,8533862168.0
70,Chi phí phải trả,14668323979.0,6333275965.0,6879215413.0,26598839649.0,29634989449.0,23245136558.0,19317831516.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,26033575448.0,26169928639.0,29563935000.0,26338279517.0,27234079477.0,9298901945.0,13812684180.0
75,Vay ngắn hạn,20062023160.0,22260245066.0,28005854678.0,17093838892.0,21586741915.0,25784814561.0,21802369089.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",3313720892.0,4067918353.0,4896813987.0,4231892132.0,4168803910.0,4204421077.0,2571051229.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0
