,CHỈ TIÊU,Q3 2011,Q4 2011,Q4 2011.1,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013
0,Doanh số,55665316724.0,62871793798.0,62871793798.0,61788993739.0,64479330380.0,62902755963.0,65817159014.0,65817159014.0,60731709288.0,72286565010.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,-3510467600.0,-2962669357.0,-1588386600.0,-1588386600.0,0.0,0.0
2,Doanh số thuần,55665316724.0,62871793798.0,62871793798.0,61788993739.0,60968862780.0,59940086606.0,64228772414.0,64228772414.0,60731709288.0,72286565010.0
3,Giá vốn hàng bán,-49987801414.0,-55805582432.0,-55805582432.0,-56682119993.0,-52747853737.0,-53234127589.0,-56505340079.0,-56505340079.0,-54974779035.0,-63517416384.0
4,Lãi gộp,5677515310.0,7066211366.0,7066211366.0,5106873746.0,8221009043.0,6705959017.0,7723432335.0,7723432335.0,5756930253.0,8769148626.0
5,Thu nhập tài chính,334031099.0,659798160.0,659798160.0,666483724.0,966989422.0,203747312.0,539663157.0,539663157.0,247389674.0,160737217.0
6,Chi phí tài chính,-549779253.0,-681373000.0,-681373000.0,-962947643.0,-1041322592.0,-287807045.0,-303536857.0,-303536857.0,-128533403.0,-287391543.0
7,Trong đó: Chi phí lãi vay,-393236504.0,-636880275.0,-636880275.0,781901643.0,-2382488115.0,-266010630.0,-288200468.0,-288200468.0,-111952026.0,-150678020.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1076583765.0,-985738426.0,-985738426.0,-975804394.0,-1094489004.0,-1030062602.0,-1224068742.0,-1224068742.0,-1248426312.0,-1500815332.0
10,Chi phí quản lý doanh  nghiệp,-895100617.0,-1579032592.0,-1579032592.0,-1371001196.0,-1691907078.0,-1685101571.0,-2358883785.0,-2358883785.0,-1577148463.0,-2031470935.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,3490082774.0,4479865508.0,4479865508.0,2463604237.0,5360279791.0,3906735111.0,4376606108.0,4376606108.0,3050211749.0,5110208033.0
12,Thu nhập khác,314545455.0,393137371.0,393137371.0,1818182.0,38615463.0,204545455.0,718213536.0,718213536.0,559090909.0,53827200.0
13,Chi phí khác,-19100000.0,-23388791.0,-23388791.0,-18100000.0,-22878111.0,-183375.0,-10000000.0,-10000000.0,-7000000.0,-14071716.0
14,"Thu nhập khác, ròng",295445455.0,369748580.0,369748580.0,-16281818.0,15737352.0,204362080.0,708213536.0,708213536.0,552090909.0,39755484.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,3785528229.0,4849614088.0,4849614088.0,2447322419.0,5376017143.0,4111097191.0,5084819644.0,5084819644.0,3602302658.0,5149963517.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-810535451.0,-1062228178.0,-1062228178.0,-367153203.0,-992311950.0,-864713559.0,-341498568.0,-341498568.0,-554760130.0,-1172394569.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,20035864.0,20035864.0,0.0,-7708440.0,0.0,0.0,0.0,0.0,-12589288.0
19,Chi phí thuế thu nhập doanh nghiệp,-810535451.0,-1042192314.0,-1042192314.0,-367153203.0,-1000020390.0,-864713559.0,-341498568.0,-341498568.0,-554760130.0,-1184983857.0
20,Lãi/(lỗ) thuần sau thuế,2974992778.0,3807421774.0,3807421774.0,2080169216.0,4375996753.0,3246383632.0,4743321076.0,4743321076.0,3047542528.0,3964979660.0
21,Lợi ích của cổ đông thiểu số,80271913.0,78704434.0,78704434.0,132624130.0,170743133.0,155965571.0,161241636.0,161241636.0,115843665.0,139250343.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,2894720865.0,3728717340.0,3728717340.0,1947545086.0,4205253620.0,3090418061.0,4582079440.0,4582079440.0,2931698863.0,3825729317.0
23,Lãi cơ bản trên cổ phiếu,750.0,1006.0,1006.0,525.0,1155.0,845.0,1253.0,1253.0,802.0,1046.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
