,CHỈ TIÊU,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018
0,Doanh số,202957660210.0,210433755242.0,212674328317.0,213125959057.0,228575387101.0,241262052747.0,262691614616.0,256656465621.0,263479275024.0
1,Các khoản giảm trừ,-55192580.0,-54313920.0,-30836620.0,-35757610.0,-41315073.0,-49334490.0,-50919560.0,-62416020.0,-74609190.0
2,Doanh số thuần,202902467630.0,210379441322.0,212643491697.0,213090201447.0,228534072028.0,241212718257.0,262640695056.0,256594049601.0,263404665834.0
3,Giá vốn hàng bán,-187482163128.0,-194230097744.0,-198154958475.0,-200228171572.0,-214157277213.0,-228396128660.0,-248849555690.0,-241493577396.0,-246871402802.0
4,Lãi gộp,15420304502.0,16149343578.0,14488533222.0,12862029875.0,14376794815.0,12816589597.0,13791139366.0,15100472205.0,16533263032.0
5,Thu nhập tài chính,737985199.0,9604858.0,8932980.0,64193880.0,8874313.0,183869022.0,73897564.0,3035727.0,368863074.0
6,Chi phí tài chính,-38954621.0,-20514999.0,-26265890.0,-17164371.0,-36336003.0,-239466555.0,-369326184.0,-341213331.0,-132414010.0
7,Trong đó: Chi phí lãi vay,-38954621.0,-20514999.0,-26265890.0,-17164371.0,-36336003.0,-239466555.0,-369326184.0,-341213331.0,-132414010.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-5678394530.0,-5245428660.0,-6537570982.0,-5620526327.0,-6488744258.0,-5211197591.0,-5804304635.0,-5551521908.0,-5367155576.0
10,Chi phí quản lý doanh  nghiệp,-3934701152.0,-2140720001.0,-2877836571.0,-2283668491.0,-2848625969.0,-2275905945.0,-2616744865.0,-1972209274.0,-3108561365.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,6506239398.0,8752284776.0,5055792759.0,5004864566.0,5011962898.0,5273888528.0,5074661246.0,7238563419.0,8293995155.0
12,Thu nhập khác,1125171166.0,34849147.0,36477962.0,1624847197.0,222337778.0,72007836.0,88224989.0,74740295.0,94890039.0
13,Chi phí khác,-619786262.0,-148087375.0,-209933819.0,-1475742773.0,-69637025.0,-308704096.0,-87997716.0,-74740295.0,-64872402.0
14,"Thu nhập khác, ròng",505384904.0,-113238228.0,-173455857.0,149104424.0,152700753.0,-236696260.0,227273.0,0.0,30017637.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,7011624302.0,8639046548.0,4882336902.0,5153968990.0,5164663651.0,5037192268.0,5074888519.0,7238563419.0,8324012792.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1267924999.0,-1727809310.0,-976467380.0,-1030793798.0,-1087921391.0,-1007438454.0,-1014977703.0,-1447712684.0,-1590491215.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1267924999.0,-1727809310.0,-976467380.0,-1030793798.0,-1087921391.0,-1007438454.0,-1014977703.0,-1447712684.0,-1590491215.0
20,Lãi/(lỗ) thuần sau thuế,5743699303.0,6911237238.0,3905869522.0,4123175192.0,4076742260.0,4029753814.0,4059910816.0,5790850735.0,6733521577.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,5743699303.0,6911237238.0,3905869522.0,4123175192.0,4076742260.0,4029753814.0,4059910816.0,5790850735.0,6733521577.0
23,Lãi cơ bản trên cổ phiếu,24827.0,3323.0,1878.0,1982.0,19602.0,1938.0,1952.0,2784.0,3238.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
