,CHỈ TIÊU,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,84016890861.0,86343169908.0,81666679666.0,190670453513.0,180428690018.0,287049726455.0,501337307233.0
1,TÀI SẢN NGẮN HẠN,66504486124.0,61109719886.0,61361725080.0,168010670682.0,156572133129.0,261272782423.0,464337117460.0
2,Tiền và tương đương tiền,7538944154.0,14209574348.0,12365051944.0,23762805712.0,65706224630.0,24386620113.0,31863525260.0
3,Tiền,7538944154.0,14209574348.0,12365051944.0,23762805712.0,65706224630.0,24386620113.0,31863525260.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,27000000000.0,0.0,20000000000.0,123500000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,27000000000.0,0.0,20000000000.0,123500000000.0
9,Các khoản phải thu,27121239781.0,34680884128.0,41556609548.0,91385186218.0,74049774336.0,172783729246.0,245127126536.0
10,Phải thu khách hàng,26952748774.0,32173775579.0,42027123979.0,77910960276.0,45041854502.0,83836671724.0,97631071128.0
11,Trả trước người bán,43900000.0,2811608000.0,22000605.0,1115086457.0,267749408.0,79484592681.0,94111444025.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,11530000000.0,23096000000.0,4000000000.0,4000000000.0
15,Phải thu khác,833573196.0,192465249.0,472613211.0,1168690432.0,2372942205.0,3439160405.0,51799073693.0
16,Dự phòng nợ khó đòi,-708982189.0,-496964700.0,-965128247.0,-830049397.0,-1303947243.0,-1890503358.0,-6328270104.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,490498450.0,4575175464.0,3913807794.0,3913807794.0
18,"Hàng tồn kho, ròng",30138340180.0,12219261410.0,7440063588.0,24854882474.0,16026468375.0,42570412484.0,59061956524.0
19,Hàng tồn kho,30138340180.0,12219261410.0,7440063588.0,24854882474.0,16026468375.0,42570412484.0,59061956524.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,1705962009.0,0.0,0.0,1007796278.0,789665788.0,1532020580.0,4784509140.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,9874000.0,340790273.0,488943420.0,409018229.0
23,Thuế VAT phải thu,1273887008.0,0.0,0.0,777797546.0,364897745.0,1043077160.0,820409753.0
24,Phải thu thuế khác,432075001.0,0.0,0.0,220124732.0,83977770.0,0.0,3555081158.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,17512404737.0,25233450022.0,20304954586.0,22659782831.0,23856556889.0,25776944032.0,37000189773.0
28,Phải thu dài hạn,61667000.0,1385400000.0,1112900000.0,1023650000.0,1298190000.0,671890000.0,2947338000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,1325000000.0,1025000000.0,875000000.0,875000000.0,125000000.0,2370448000.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,61667000.0,60400000.0,87900000.0,148650000.0,423190000.0,546890000.0,576890000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,8302466573.0,16959369886.0,15848701756.0,17735276410.0,18659027381.0,21937668342.0,21439366620.0
37,GTCL TSCĐ hữu hình,3619389095.0,5062059844.0,4064447002.0,5934396215.0,7001614326.0,10423722427.0,10060706010.0
38,Nguyên giá TSCĐ hữu hình,18008229434.0,20343357039.0,20398657039.0,23528007039.0,26129837584.0,31180905765.0,33478932583.0
39,Khấu hao lũy kế TSCĐ hữu hình,-14388840339.0,-15281297195.0,-16334210037.0,-17593610824.0,-19128223258.0,-20757183338.0,-23418226573.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,4683077478.0,11897310042.0,11784254754.0,11800880195.0,11657413055.0,11513945915.0,11378660610.0
44,Nguyên giá TSCĐ vô hình,5776545200.0,12544027564.0,12544027564.0,12677677564.0,12677677564.0,12677677564.0,12677677564.0
45,Khấu hao lũy kế TSCĐ vô hình,-1093467722.0,-646717522.0,-759772810.0,-876797369.0,-1020264509.0,-1163731649.0,-1299016954.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,132000000.0,132000000.0,132000000.0,70610000.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,7100000000.0,4100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,11100000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0
55,Đầu tư dài hạn khác,6000000000.0,3000000000.0,0.0,0.0,0.0,0.0,10000000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,2048271164.0,2788680136.0,2111352830.0,2668856421.0,2667339508.0,1996775690.0,1513485153.0
59,Trả trước dài hạn,2048271164.0,2788680136.0,2111352830.0,2668856421.0,2585521326.0,1996775690.0,1513485153.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,81818182.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,31613730698.0,50766705844.0,25476178660.0,75549594236.0,48797468372.0,136180151985.0,342856157133.0
65,Nợ ngắn hạn,31377164031.0,50524139177.0,25273611993.0,75167027569.0,47396781705.0,134494652743.0,338017590466.0
66,Phải trả người bán,1009656321.0,1769616509.0,1753748814.0,2829807367.0,2188686300.0,2359874674.0,1847402464.0
67,Người mua trả tiền trước,729631185.0,146980040.0,246530313.0,500526299.0,62642485.0,1875594470.0,7156841150.0
68,Thuế và các khoản phải trả Nhà nước,937135194.0,1113838225.0,1279966624.0,1815149405.0,1133267710.0,354817434.0,58504642.0
