,CHỈ TIÊU,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018
0,TỔNG TÀI SẢN,86265537732.0,96006610905.0,89060129592.0,94943917724.0,81666679666.0
1,TÀI SẢN NGẮN HẠN,61029578846.0,71538587760.0,65228819085.0,71709510586.0,61361725080.0
2,Tiền và tương đương tiền,14209574348.0,9309007061.0,8495373439.0,14347314479.0,12365051944.0
3,Tiền,14209574348.0,9309007061.0,8495373439.0,14347314479.0,12365051944.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,34600743088.0,34876487023.0,38775239899.0,39237071424.0,41556609548.0
10,Phải thu khách hàng,32044644539.0,35313454600.0,39128938856.0,39342957231.0,42027123979.0
11,Trả trước người bán,2811608000.0,16600000.0,26539300.0,518600.0,22000605.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,192465249.0,23800633.0,96065467.0,370257614.0,472613211.0
16,Dự phòng nợ khó đòi,-447974700.0,-496964700.0,-496964700.0,-496964700.0,-965128247.0
17,Tài sản thiếu chờ xử lý,0.0,19596490.0,20660976.0,20302679.0,0.0
18,"Hàng tồn kho, ròng",12219261410.0,26755124845.0,17622515460.0,18125124683.0,7440063588.0
19,Hàng tồn kho,12219261410.0,26755124845.0,17622515460.0,18125124683.0,7440063588.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,0.0,597968831.0,335690287.0,0.0,0.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,597968831.0,335690287.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,25235958886.0,24468023145.0,23831310507.0,23234407138.0,20304954586.0
28,Phải thu dài hạn,1386667000.0,1312400000.0,1262900000.0,1187900000.0,1112900000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,1325000000.0,1250000000.0,1175000000.0,1100000000.0,1025000000.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,61667000.0,62400000.0,87900000.0,87900000.0,87900000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,16959603219.0,16645776447.0,16466679338.0,16156872823.0,15848701756.0
37,GTCL TSCĐ hữu hình,5062293177.0,4776730227.0,4625896940.0,4344354247.0,4064447002.0
38,Nguyên giá TSCĐ hữu hình,20343357039.0,20343357039.0,20468657039.0,20468657039.0,20398657039.0
39,Khấu hao lũy kế TSCĐ hữu hình,-15281063862.0,-15566626812.0,-15842760099.0,-16124302792.0,-16334210037.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,11897310042.0,11869046220.0,11840782398.0,11812518576.0,11784254754.0
44,Nguyên giá TSCĐ vô hình,12544027564.0,12544027564.0,12544027564.0,12544027564.0,12544027564.0
45,Khấu hao lũy kế TSCĐ vô hình,-646717522.0,-674981344.0,-703245166.0,-731508988.0,-759772810.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,162000000.0,132000000.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,4100000000.0,4100000000.0,4100000000.0,4100000000.0,1100000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0
55,Đầu tư dài hạn khác,3000000000.0,3000000000.0,3000000000.0,3000000000.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,2789688667.0,2409846698.0,2001731169.0,1627634315.0,2111352830.0
59,Trả trước dài hạn,2789688667.0,2409846698.0,2001731169.0,1627634315.0,2111352830.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,50647874577.0,56440393027.0,45481000898.0,45486938295.0,25476178660.0
65,Nợ ngắn hạn,50405307910.0,56197826360.0,45238434231.0,45244371628.0,25273611993.0
66,Phải trả người bán,1769616509.0,16014588998.0,16092934246.0,16265052477.0,1753748814.0
67,Người mua trả tiền trước,17849000.0,401031481.0,410025249.0,116905824.0,246530313.0
68,Thuế và các khoản phải trả Nhà nước,1124137998.0,997138681.0,1014977703.0,2509075957.0,1279966624.0
69,Phải trả người lao động,1337436246.0,2685023622.0,2570556479.0,2780410216.0,2780780529.0
70,Chi phí phải trả,8764579.0,0.0,0.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,27261155260.0,427755260.0,406158660.0,266255260.0,133673819.0
75,Vay ngắn hạn,14865090000.0,34397080000.0,23522010000.0,22093700000.0,17880500000.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",4021258318.0,1275208318.0,1221771894.0,1212971894.0,1198411894.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,242566667.0,242566667.0,242566667.0,242566667.0,202566667.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,242566667.0,242566667.0,242566667.0,242566667.0,202566667.0
88,Vay dài hạn,0.0,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0
