,Unnamed: 0,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,25582085654.0,6532717783.0,-513842619.0,-9556993127.0,2420973691.0,10112838814.0,7277215313.0,-641168154.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,8887198237.0,4962754894.0,5126492006.0,5246103839.0,5406383240.0,5674714248.0,7886547538.0,8863443797.0
2,Lãi trước thuế,8639046548.0,4882336902.0,5153968990.0,5164663651.0,5037192268.0,5074888519.0,7238563419.0,8324012792.0
3,Khấu hao TSCĐ,237241548.0,241941036.0,223524311.0,278026459.0,313593439.0,304397109.0,309806515.0,308171067.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,-178855954.0,-202537974.0,120386439.0,0.0,0.0,0.0,468163547.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-9604858.0,-8932980.0,-65627692.0,-353308713.0,-183869022.0,-73897564.0,-3035727.0,-369317619.0
9,Chi phí lãi vay,20514999.0,26265890.0,17164371.0,36336003.0,239466555.0,369326184.0,341213331.0,132414010.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-12847505913.0,1358018599.0,3276214409.0,1375739096.0,-720971726.0,-3586974332.0,-50741238.0,-2347489671.0
13,(Tăng)/giảm hàng tồn kho,17976849765.0,795243980.0,-8810801756.0,7957786781.0,-14535863435.0,9132609385.0,-502609223.0,10685061095.0
14,Tăng/(giảm) các khoản phải trả,13513448123.0,709291108.0,1717119773.0,-19660845873.0,15312960849.0,-48724727.0,1002981687.0,-15118447437.0
15,( Tăng)/giảm chi phí trả trước,232395572.0,13031470.0,-320276630.0,816267091.0,378833438.0,408115529.0,374096854.0,-483718515.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-32837138.0,-26265890.0,-17164371.0,-16683135.0,-246797284.0,-369326184.0,-341213331.0,-132414010.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-1895734309.0,-376467380.0,-1788063404.0,-387921391.0,-997138681.0,-1014977703.0,-2247712684.0
19,Tiền thu khác từ các hoạt động kinh doanh,967347369.0,440829364.0,-1048038221.0,1656851413.0,557407703.0,0.0,102219271.0,-634276974.0
20,Tiền chi khác từ các hoạt động kinh doanh,-3114810361.0,175548567.0,-60920449.0,-5144148935.0,-3343057703.0,-100436424.0,-179088542.0,774386245.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-29940597.0,1660148036.0,-7423802245.0,-871732691.0,183869022.0,-51402436.0,3035727.0,2872105619.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-39545455.0,-1348784944.0,-7433636364.0,-2166966765.0,0.0,-125300000.0,0.0,-132000000.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,1232000000.0,0.0,0.0,0.0,454545.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,3000000000.0,0.0,0.0,0.0,0.0,0.0,3000000000.0
28,Cổ tức và tiền lãi nhận được,9604858.0,8932980.0,9834119.0,63234074.0,183869022.0,73897564.0,3035727.0,3651074.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-19413500000.0,-4159600000.0,0.0,14865090000.0,-7505410000.0,-10875070000.0,-1428310000.0,-4213200000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,16940000000.0,50222000000.0,39374000000.0,62066290000.0,181395600000.0,201398640000.0,247673010000.0,167551952400.0
33,Tiển trả các khoản đi vay,-36353500000.0,-50222000000.0,-39374000000.0,-47201200000.0,-161863610000.0,-212273710000.0,-249101320000.0,-171765152400.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-4159600000.0,0.0,0.0,-27037400000.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,6138645057.0,4033265819.0,-7937644864.0,4436364182.0,-4900567287.0,-813633622.0,5851941040.0,-1982262535.0
38,Tiền và tương đương tiền đầu kỳ,7538944154.0,13677589211.0,17710855030.0,9773210166.0,14209574348.0,9309007061.0,8495373439.0,14347314479.0
