,Unnamed: 0,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,188362273.0,-190065683.0,25741271083.0,-7168846680.0,14911512830.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,37662957373.0,124670594962.0,177552239440.0
2,Lãi trước thuế,0.0,0.0,18470874351.0,56724527872.0,61821009490.0
3,Khấu hao TSCĐ,0.0,0.0,10382088061.0,15886030926.0,57117701903.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,-94888925.0,-87396645.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,-784047046.0,-786868042.0,-362811241.0
9,Chi phí lãi vay,0.0,0.0,9688930932.0,52934300851.0,58976339288.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,-95374817632.0,-25129107327.0,-77198425916.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,-35966841557.0,29246747396.0,71257849882.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,128320753063.0,-45285120665.0,-73872690581.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,788150768.0,-7577604370.0,36347365.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,-9688930932.0,-82925687074.0,-58535482565.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,-168669602.0,-24328324795.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-6500000000.0,-6999186000.0,-85201334027.0,24766667137.0,-11895714459.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,-85613200073.0,-7870736260.0,-12258525700.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,31850535355.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-6500000000.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,-7000000000.0,-372181000.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,814000.0,784047046.0,786868042.0,362811241.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,0.0,7000000000.0,56880883835.0,28445869150.0,-22369154660.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,7000000000.0,63400754222.0,39793500000.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,-472014222.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,16498345335.0,17506107900.0,20481000000.0
33,Tiển trả các khoản đi vay,0.0,0.0,-21282028500.0,-28221652000.0,-42850154660.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,-1264173000.0,-632086750.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-6311637727.0,-189251683.0,-2579179109.0,46043689607.0,-19353356289.0
38,Tiền và tương đương tiền đầu kỳ,6745542312.0,433904585.0,5328884887.0,2749705778.0,48793395385.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,433904585.0,244652902.0,2749705778.0,48793395385.0,29440039096.0
