,Unnamed: 0,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,555678636.0,5659881316.0,-31801350092.0,78121061275.0,-7675412504.0,-12071904911.0,34271410673.0,387419572.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,10258858143.0,36489501552.0,2720271262.0,86106377653.0,30536707504.0,52869296566.0,25789655940.0,68356579430.0
2,Lãi trước thuế,5119806151.0,10816383514.0,5128082301.0,34688778414.0,7292506404.0,27951448929.0,743873328.0,25833180829.0
3,Khấu hao TSCĐ,2773188682.0,10097835264.0,9235941844.0,16237315146.0,10433299798.0,10435500525.0,10470819345.0,25778082235.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,1620531466.0,-1620531466.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,1278770376.0,-1278770376.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-192328766.0,-195943177.0,-22278730416.0,21886769204.0,-194488596.0,-194359022.0,-196384195.0,222420572.0
9,Chi phí lãi vay,1279421700.0,20146076707.0,9014446067.0,15344250980.0,13005389898.0,14676706134.0,14771347462.0,16522895794.0
11,Các khoản điều chỉnh khác,0.0,-3096080380.0,0.0,-430204625.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-4231997439.0,-30482609513.0,-31986091664.0,-147952534438.0,68513859728.0,-75284034803.0,106440324176.0,-176868575017.0
13,(Tăng)/giảm hàng tồn kho,18421711868.0,5732722739.0,4057437502.0,70668337257.0,16832267071.0,-6686663210.0,-19962400907.0,81074646928.0
14,Tăng/(giảm) các khoản phải trả,-23892893936.0,6569297609.0,43214900291.0,56410503980.0,-108459709198.0,44682484249.0,-57976327162.0,47880861530.0
15,( Tăng)/giảm chi phí trả trước,0.0,-45736332.0,0.0,-7468943367.0,-408190564.0,238065308.0,-12545567.0,219018188.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,-12603294739.0,-4994573560.0,-56454852842.0,-14162143013.0,-14415278237.0,-14888606807.0,-15069454508.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,-19900000.0,-148769602.0,-528204032.0,-13475774784.0,-5118689000.0,-5205656979.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,4862858239.0,29431811273.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,-49656252162.0,47529131361.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-110232882.0,105351706.0,-98500071.0,889444511.0,136488596.0,194359022.0,-4301358468.0,-7925203609.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-84501544.0,78202544.0,1299000.0,5000000.0,-58000000.0,0.0,-4500000000.0,-7700525700.0
23,Tiền thu được từ thanh lý tài sản cố định,-26382662.0,26382662.0,-100272485.0,100272485.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,651324.0,766500.0,473414.0,784172026.0,194488596.0,194359022.0,198641532.0,-224677909.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-3117006250.0,-4651977260.0,31021434660.0,-33152796250.0,362037000.0,-13831513000.0,-1659678660.0,-7240000000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,37620000000.0,-37620000000.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,517229240.0,1617700000.0,15371177660.0,9551000000.0,0.0,6290000000.0,4640000000.0
33,Tiển trả các khoản đi vay,-3117006250.0,-5169206500.0,-8216265340.0,-10903973910.0,-9188963000.0,-13831513000.0,-7949678660.0,-11880000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-2671560496.0,1113255762.0,-878415503.0,45857709536.0,-7176886908.0,-25709058889.0,28310373545.0,-14777784037.0
38,Tiền và tương đương tiền đầu kỳ,5845786158.0,3174225662.0,4287481424.0,3409065921.0,48793395385.0,41616508477.0,15907449588.0,44217823133.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,3174225662.0,4287481424.0,3409065921.0,49266775457.0,41616508477.0,15907449588.0,44217823133.0,29440039096.0
