,CHỈ TIÊU,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,1801264780519.0,1804543416262.0,1866759495111.0,1900501867924.0,1642031695938.0,1692490203911.0,1647751018544.0,1698484539028.0
1,TÀI SẢN NGẮN HẠN,359064217720.0,375322011939.0,484318566491.0,531627556247.0,290181602700.0,351402985973.0,312678246870.0,373707244804.0
2,Tiền và tương đương tiền,3174225662.0,4287481424.0,3409065921.0,49266775457.0,41616508477.0,15907449588.0,44217823133.0,29440039096.0
3,Tiền,3174225662.0,4287481424.0,3409065921.0,49266775457.0,41616508477.0,15907449588.0,44217823133.0,29440039096.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,205808079998.0,222077203934.0,347265047199.0,408283042726.0,121444221470.0,201787568765.0,114732010533.0,271695853164.0
10,Phải thu khách hàng,13991471406.0,18222734290.0,25702588728.0,63822093054.0,34083660851.0,57787942696.0,40847272425.0,165792332640.0
11,Trả trước người bán,179515647672.0,194670503162.0,282327217634.0,332206431545.0,77862050078.0,134343294924.0,64241689993.0,88335201054.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,6500000000.0,6500000000.0,6500000000.0,6500000000.0,6500000000.0,6500000000.0,6500000000.0,6500000000.0
15,Phải thu khác,5800960920.0,2683966482.0,32735240837.0,5754518127.0,2998510541.0,3156331145.0,3143048115.0,11068319470.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",148356880423.0,148278488861.0,131069110383.0,73552714102.0,126353909001.0,133040572211.0,153002973118.0,71928326190.0
19,Hàng tồn kho,148356880423.0,148278488861.0,131069110383.0,73552714102.0,126353909001.0,133040572211.0,153002973118.0,71928326190.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,1725031637.0,678837720.0,2575342988.0,525023962.0,766963752.0,667395409.0,725440086.0,643026354.0
22,Trả trước ngắn hạn,0.0,2028000.0,2028000.0,0.0,406686382.0,295995849.0,187990971.0,211803342.0
23,Thuế VAT phải thu,691132401.0,676809720.0,1963199148.0,129670472.0,253922370.0,265044560.0,308479115.0,336510732.0
24,Phải thu thuế khác,1025690236.0,0.0,610115840.0,395353490.0,106355000.0,106355000.0,228970000.0,94712280.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
