,CHỈ TIÊU,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,43801880584.0,58082794398.0,60727021421.0,144611639679.0,58615656158.0,90593361428.0,26755423543.0,324016158402.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,43801880584.0,58082794398.0,60727021421.0,144611639679.0,58615656158.0,90593361428.0,26755423543.0,324016158402.0
3,Giá vốn hàng bán,-34525433819.0,-24435087052.0,-40684356341.0,-81743134946.0,-35828938067.0,-44898223749.0,-8963334275.0,-282258616485.0
4,Lãi gộp,9276446765.0,33647707346.0,20042665080.0,62868504733.0,22786718091.0,45695137679.0,17792089268.0,41757541917.0
5,Thu nhập tài chính,192980090.0,195291853.0,197081630.0,200769291.0,194488596.0,195694976.0,197292080.0,555336769.0
6,Chi phí tài chính,-1279421700.0,-20146076707.0,-11138611078.0,-21187651057.0,-13005389898.0,-14676706134.0,-14771347462.0,-14992486378.0
7,Trong đó: Chi phí lãi vay,-1279421700.0,-20146076707.0,-11138611078.0,-21187651057.0,-13005389898.0,-14676706134.0,-14771347462.0,-14992486378.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-3043816342.0,-2906921640.0,-3062515113.0,-4478605458.0,-2656686621.0,-3027008175.0,-2494651234.0,-1577373652.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,5146188813.0,10790000852.0,6038620519.0,37403017509.0,7319130168.0,28187118346.0,723382652.0,25743018656.0
12,Thu nhập khác,0.0,0.0,0.0,0.0,0.0,892170.0,6275030.0,3763.0
13,Chi phí khác,-26382662.0,26382662.0,-100272485.0,-286534066.0,-26623764.0,-236561587.0,-35004526.0,-50381526.0
14,"Thu nhập khác, ròng",-26382662.0,26382662.0,-100272485.0,-286534066.0,-26623764.0,-235669417.0,-28729496.0,-50377763.0
16,Lãi/(lỗ) ròng trước thuế,5119806151.0,10816383514.0,5938348034.0,37116483443.0,7292506404.0,27951448929.0,694653156.0,25692640893.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1023961230.0,-2316511428.0,-1421700203.0,-8917181537.0,-1330412171.0,-4788277197.0,-1187544837.0,-4010077779.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,-162053147.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1023961230.0,-2478564575.0,-1421700203.0,-8917181537.0,-1330412171.0,-4788277197.0,-1187544837.0,-4010077779.0
20,Lãi/(lỗ) thuần sau thuế,4095844921.0,8337818939.0,4516647831.0,28199301906.0,5962094233.0,23163171732.0,-492891681.0,21682563114.0
21,Lợi ích của cổ đông thiểu số,420015997.0,936486671.0,565091297.0,-5903351438.0,579244537.0,3096292381.0,297340224.0,1899409277.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3675828924.0,7401332268.0,3951556534.0,34102653344.0,5382849696.0,20066879351.0,-790231905.0,19783153837.0
23,Lãi cơ bản trên cổ phiếu,0.0,218.0,78.0,741.0,0.0,502.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,218.0,78.0,741.0,0.0,502.0,0.0,0.0
