,CHỈ TIÊU,Q4 2020,Q4 2020.1,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,87542307174.0,87542307174.0,80981915881.0,82346513683.0,87966045503.0,83952981428.0,61724125081.0,110842452481.0,85932947414.0,92794244458.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,87542307174.0,87542307174.0,80981915881.0,82346513683.0,87966045503.0,83952981428.0,61724125081.0,110842452481.0,85932947414.0,92794244458.0
3,Giá vốn hàng bán,-66345867986.0,-66345867986.0,-60793886499.0,-64645877117.0,-68382828147.0,-60146216767.0,-43672451100.0,-87629315078.0,-64601504794.0,-63481750284.0
4,Lãi gộp,21196439188.0,21196439188.0,20188029382.0,17700636566.0,19583217356.0,23806764661.0,18051673981.0,23213137403.0,21331442620.0,29312494174.0
5,Thu nhập tài chính,526141183.0,526141183.0,2596925.0,282941647.0,416646981.0,288021164.0,78331493.0,562015138.0,249114854.0,1188308332.0
6,Chi phí tài chính,-2618932528.0,-2618932528.0,-2360156931.0,-2189883730.0,-2824042819.0,-2783987750.0,-2635555106.0,-2615998810.0,-2535691783.0,-2302843261.0
7,Trong đó: Chi phí lãi vay,-2618932528.0,-2618932528.0,-2360156931.0,-2189883730.0,-2824042819.0,-2783987750.0,-2635555106.0,-2615998810.0,-2535691783.0,-2302843261.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-5376460842.0,-5376460842.0,-3933407575.0,-5012250301.0,-4179043011.0,-9003397693.0,-5877333166.0,-6477642176.0,-4766174916.0,-6304961358.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,13727187001.0,13727187001.0,13897061801.0,10781444182.0,12996778507.0,12307400382.0,9617117202.0,14681511555.0,14278690775.0,21892997887.0
12,Thu nhập khác,7273254.0,7273254.0,185.0,6001349.0,851500000.0,13991533.0,949514.0,34044.0,31110.0,31768.0
13,Chi phí khác,-10971793.0,-10971793.0,-93644596.0,-26724002.0,-26373824.0,-1.0,0.0,-17016431.0,0.0,-3.0
14,"Thu nhập khác, ròng",-3698539.0,-3698539.0,-93644411.0,-20722653.0,825126176.0,13991532.0,949514.0,-16982387.0,31110.0,31765.0
16,Lãi/(lỗ) ròng trước thuế,13723488462.0,13723488462.0,13803417390.0,10760721529.0,13821904683.0,12321391914.0,9618066716.0,14664529168.0,14278721885.0,21893029652.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-2744697692.0,-2744697692.0,-2760683478.0,-2152144306.0,-2764380937.0,-2464278383.0,-1923613343.0,-2953146417.0,-2855744377.0,-4378605930.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-2744697692.0,-2744697692.0,-2760683478.0,-2152144306.0,-2764380937.0,-2464278383.0,-1923613343.0,-2953146417.0,-2855744377.0,-4378605930.0
20,Lãi/(lỗ) thuần sau thuế,10978790770.0,10978790770.0,11042733912.0,8608577223.0,11057523746.0,9857113531.0,7694453373.0,11711382751.0,11422977508.0,17514423722.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,10978790770.0,10978790770.0,11042733912.0,8608577223.0,11057523746.0,9857113531.0,7694453373.0,11711382751.0,11422977508.0,17514423722.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
