,CHỈ TIÊU,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014
0,Doanh số,3532796217.0,1176915954.0,3965537723.0,3965537723.0,129555941.0,235271794.0,2015750568.0,8750347322.0,1044303951.0,6918912688.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,3532796217.0,1176915954.0,3965537723.0,3965537723.0,129555941.0,235271794.0,2015750568.0,8750347322.0,1044303951.0,6918912688.0
3,Giá vốn hàng bán,-3290539766.0,-1060960242.0,-3317804324.0,-3317804324.0,-80892517.0,-259755723.0,-1757849704.0,-7241978613.0,-926497293.0,-5723077966.0
4,Lãi gộp,242256451.0,115955712.0,647733399.0,647733399.0,48663424.0,-24483929.0,257900864.0,1508368709.0,117806658.0,1195834722.0
5,Thu nhập tài chính,27562310.0,29117371.0,260239571.0,260239571.0,108271702.0,281266361.0,115529324.0,112834428.0,33442275.0,11162793.0
6,Chi phí tài chính,5151900.0,0.0,-55459500.0,-55459500.0,0.0,-244470.0,-3107897.0,-19484038.0,-8321509.0,-2924891.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19633406.0,-8321509.0,-2924891.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-522369388.0,-436947395.0,-433900134.0,-433900134.0,-433109692.0,-549606517.0,-403691516.0,-468239088.0,-373718028.0,-404908112.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-247398727.0,-291874312.0,418613336.0,418613336.0,-276174566.0,-293068555.0,-33369225.0,1133480011.0,-230790604.0,799164512.0
12,Thu nhập khác,9242638.0,66402094.0,645373821.0,645373821.0,0.0,42084512.0,93678381.0,32385970.0,1000000.0,452146852.0
13,Chi phí khác,-269241767.0,-16720842.0,-98433217.0,-98433217.0,-18999764.0,-171895750.0,-69127513.0,-36370930.0,-1500000.0,-423870139.0
14,"Thu nhập khác, ròng",-259999129.0,49681252.0,546940604.0,546940604.0,-18999764.0,-129811238.0,24550868.0,-3984960.0,-500000.0,28276713.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-507397856.0,-242193060.0,965553940.0,965553940.0,-295174330.0,-422879793.0,-8818357.0,1129495051.0,-231290604.0,827441225.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-507397856.0,-242193060.0,965553940.0,965553940.0,-295174330.0,-422879793.0,-8818357.0,1129495051.0,-231290604.0,827441225.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-507397856.0,-242193060.0,965553940.0,965553940.0,-295174330.0,-422879793.0,-8818357.0,1129495051.0,-231290604.0,827441225.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
