,CHỈ TIÊU,2018,2019,2021
0,TỔNG TÀI SẢN,72410481826.0,70511261843.0,92721331937.0
1,TÀI SẢN NGẮN HẠN,21306864679.0,21295967510.0,39545677520.0
2,Tiền và tương đương tiền,960013768.0,1287657298.0,1056701786.0
3,Tiền,960013768.0,1287657298.0,1056701786.0
4,Các khoản tương đương tiền,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,229169097.0,244065088.0,260661514.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,229169097.0,244065088.0,260661514.0
9,Các khoản phải thu,11299037080.0,5742919811.0,1998140441.0
10,Phải thu khách hàng,3706867531.0,5613914491.0,911089943.0
11,Trả trước người bán,389766610.0,113000000.0,1078681605.0
12,Phải thu nội bộ,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,6913200000.0,0.0,0.0
15,Phải thu khác,289202939.0,16005320.0,8368893.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",8742478198.0,13688646766.0,35432864563.0
19,Hàng tồn kho,8742478198.0,13688646766.0,35432864563.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0
21,Tài sản lưu động khác,76166536.0,332678547.0,797309216.0
22,Trả trước ngắn hạn,19242360.0,14678547.0,0.0
23,Thuế VAT phải thu,0.0,0.0,690609700.0
24,Phải thu thuế khác,56924176.0,318000000.0,106699516.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,51103617147.0,49215294333.0,53175654417.0
28,Phải thu dài hạn,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0
36,Tài sản cố định,44463528112.0,48769826321.0,53086560814.0
37,GTCL TSCĐ hữu hình,44463528112.0,48769826321.0,53086560814.0
38,Nguyên giá TSCĐ hữu hình,46988065802.0,53093593221.0,61942321944.0
39,Khấu hao lũy kế TSCĐ hữu hình,-2524537690.0,-4323766900.0,-8855761130.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,6640089035.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,445468012.0,89093603.0
59,Trả trước dài hạn,0.0,445468012.0,89093603.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,32022719011.0,31812405821.0,44702576669.0
65,Nợ ngắn hạn,16011084992.0,18400771802.0,32136942650.0
66,Phải trả người bán,2307981341.0,2735262454.0,14999258691.0
67,Người mua trả tiền trước,0.0,40082469.0,4165926000.0
68,Thuế và các khoản phải trả Nhà nước,643644621.0,903718299.0,2108322570.0
69,Phải trả người lao động,0.0,0.0,252890500.0
70,Chi phí phải trả,110140081.0,225969638.0,109852092.0
71,Phải trả nội bộ,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0
74,Phải trả khác,5103506529.0,2799632263.0,753480000.0
75,Vay ngắn hạn,7845812420.0,11696106679.0,9747212797.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
80,Nợ dài hạn,16011634019.0,13411634019.0,12565634019.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0
88,Vay dài hạn,16011634019.0,13411634019.0,12565634019.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0
