,CHỈ TIÊU,2018,2019,2021
0,Doanh số,17167474224.0,19443830819.0,70691318128.0
1,Các khoản giảm trừ,0.0,0.0,0.0
2,Doanh số thuần,17167474224.0,19443830819.0,70691318128.0
3,Giá vốn hàng bán,-10767377762.0,-12582032414.0,-58707268387.0
4,Lãi gộp,6400096462.0,6861798405.0,11984049741.0
5,Thu nhập tài chính,875844353.0,164770576.0,318188106.0
6,Chi phí tài chính,-2381098073.0,-2472922028.0,-2381336433.0
7,Trong đó: Chi phí lãi vay,-2381098073.0,-2472922028.0,-2381336433.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0
9,Chi phí bán hàng,-961141566.0,-584345163.0,0.0
10,Chi phí quản lý doanh  nghiệp,-677562028.0,-653324085.0,-807957351.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,3256139148.0,3315977705.0,9112944063.0
12,Thu nhập khác,0.0,489028552.0,167.0
13,Chi phí khác,-4899335.0,-185244779.0,-448405651.0
14,"Thu nhập khác, ròng",-4899335.0,303783773.0,-448405484.0
16,Lãi/(lỗ) ròng trước thuế,3251239813.0,3619761478.0,8664538579.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-162806957.0,-380500626.0,-1822588846.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-162806957.0,-380500626.0,-1822588846.0
20,Lãi/(lỗ) thuần sau thuế,3088432856.0,3239260852.0,6841949733.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3088432856.0,3239260852.0,6841949733.0
23,Lãi cơ bản trên cổ phiếu,1029.48,1033.6,2.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0
