,Unnamed: 0,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,177116618907.0,145706813708.0,372683431953.0,94488544200.0,167586819177.0,231115466366.0,13107082197.0,342050265346.0,268851040584.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,145315676256.0,161344011070.0,168408027465.0,210353715919.0,238069458451.0,267779052535.0,214443591726.0,198167268756.0,243440860845.0
2,Lãi trước thuế,44819732299.0,74115398343.0,94140383055.0,137831885519.0,160442723914.0,204876336141.0,162415258078.0,136797596783.0,175568869169.0
3,Khấu hao TSCĐ,78396125666.0,76398589287.0,78404958721.0,91708547977.0,97626308973.0,91299160396.0,67796562294.0,69862096570.0,75712559296.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,145990238.0,0.0,968821483.0,3932980028.0,1847453143.0,-906047804.0,-51609591.0,788540506.0,15946067.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,213750795.0,-102751169.0,-33294938.0,-51531768.0,299662088.0,-275644449.0,210018677.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-887208603.0,-4607867244.0,-9719726589.0,-23387153944.0,-26566655641.0,-31266120829.0,-22435603397.0,-20670045632.0,-23213456060.0
9,Chi phí lãi vay,18841036656.0,12567336294.0,399840000.0,370207508.0,752923000.0,1603031099.0,6419322254.0,11664724978.0,15146923696.0
11,Các khoản điều chỉnh khác,4000000000.0,2870554390.0,4000000000.0,0.0,4000000000.0,2224225300.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,44375818634.0,15571622069.0,7614090571.0,-2678874392.0,-5084846615.0,-9002564874.0,-54708162399.0,-4642368974.0,30436899632.0
13,(Tăng)/giảm hàng tồn kho,4302322322.0,-4781002888.0,-2013895024.0,10895004543.0,-16576032344.0,10942676572.0,60349161253.0,49027969424.0,5874509924.0
14,Tăng/(giảm) các khoản phải trả,21487710571.0,24106628872.0,-23422976486.0,-76697988433.0,-7750300223.0,12231937792.0,-26140812928.0,139002017158.0,6665909180.0
15,( Tăng)/giảm chi phí trả trước,7554279398.0,1074661308.0,2936149702.0,2574036978.0,6100605519.0,5198909006.0,-3220744207.0,9004999948.0,9579329086.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-18841036656.0,-12567336294.0,-399840000.0,-370207508.0,-752923000.0,-1594290394.0,-6419322254.0,-11596611978.0,-14853650696.0
18,Thuế thu nhập doanh nghiệp đã trả,-11184099411.0,-17114557590.0,-12203358671.0,-41152506839.0,-35083496280.0,-40975179690.0,-37661238656.0,-25171177517.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,199250750.0,2059780307.0,254440437905.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-16093302957.0,-23986993146.0,-22675203509.0,-8434636068.0,-11335646331.0,-13465074581.0,-133535390338.0,-11741831471.0,-12292817387.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-54241190633.0,-34100551128.0,-88064750372.0,-287837056151.0,-349972726790.0,-216037815770.0,29392676877.0,-317672152934.0,-279573584878.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-57831437445.0,-38800470314.0,-43818657518.0,-101792297473.0,-128987800041.0,-203647965305.0,-40057953228.0,-439926927531.0,-348934618528.0
23,Tiền thu được từ thanh lý tài sản cố định,-13636369.0,0.0,0.0,0.0,208060727.0,435636365.0,-18773961.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,-52296264371.0,-206770359503.0,-435044019040.0,-314952037605.0,-187043506000.0,-423741850369.0,-423720108591.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,191694020324.0,273640997297.0,227657981569.0,524160677071.0,469777768858.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,3603883181.0,4699919186.0,8050171517.0,20725600825.0,22157011240.0,28485553478.0,28854928497.0,21835947895.0,23303373383.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-57333595537.0,-63213336632.0,7290851867.0,-2267799485.0,-50500286326.0,-59841899495.0,-39650696042.0,-10124466548.0,33216489650.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
