,CHỈ TIÊU,2011,2013,2019,2020,2021,2022
0,Doanh số,26777441662.0,54160256717.0,51483359969.0,42370678108.0,50115892451.0,41940256369.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,26777441662.0,54160256717.0,51483359969.0,42370678108.0,50115892451.0,41940256369.0
3,Giá vốn hàng bán,-22981103340.0,-48712137831.0,-45595090020.0,-34002927441.0,-43602717340.0,-34329489177.0
4,Lãi gộp,3796338322.0,5448118886.0,5888269949.0,8367750667.0,6513175111.0,7610767192.0
5,Thu nhập tài chính,236635835.0,104893458.0,519728775.0,706971305.0,728747715.0,1018796892.0
6,Chi phí tài chính,-797961722.0,-194494677.0,0.0,-1749392.0,0.0,-1078486.0
7,Trong đó: Chi phí lãi vay,-797961722.0,-194494677.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1468986653.0,-1098308846.0,-952773364.0,-1060015909.0,-2030003000.0,-1406369500.0
10,Chi phí quản lý doanh  nghiệp,-1213766484.0,-1660026809.0,-4035886370.0,-6070155358.0,-3830215482.0,-5955016337.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,552259298.0,2600182012.0,1419338990.0,1942801313.0,1381704344.0,1267099761.0
12,Thu nhập khác,2822691251.0,205431074.0,3241044981.0,1984383470.0,530028.0,802560202.0
13,Chi phí khác,-85546209.0,-149309260.0,-1185777697.0,-1343335979.0,-1727327.0,-8710590.0
14,"Thu nhập khác, ròng",2737145042.0,56121814.0,2055267284.0,641047491.0,-1197299.0,793849612.0
16,Lãi/(lỗ) ròng trước thuế,3289404340.0,2656303826.0,3474606274.0,2583848804.0,1380507045.0,2060949373.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-822351087.0,-664075961.0,-961380799.0,-389644333.0,-227117386.0,-462509875.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-822351087.0,-664075961.0,-961380799.0,-389644333.0,-227117386.0,-462509875.0
20,Lãi/(lỗ) thuần sau thuế,2467053253.0,1992227865.0,2513225475.0,2194204471.0,1153389659.0,1598439498.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,2467053253.0,1992227865.0,2513225475.0,2194204471.0,1153389659.0,1598439498.0
23,Lãi cơ bản trên cổ phiếu,1542.0,2460.0,2068.0,1806.0,949.0,1316.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,949.0,0.0
