,Unnamed: 0,2011,2013,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,4324587761.0,-5893747599.0,9932406756.0,4420342160.0,4907077165.0,-5414849254.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,2741326984.0,3754663794.0,4367152009.0,4315256577.0,2365808987.0,2341435346.0
2,Lãi trước thuế,3289404340.0,2656303826.0,3474606274.0,2583848804.0,1380507045.0,2060949373.0
3,Khấu hao TSCĐ,604065506.0,537560536.0,640961621.0,633774555.0,646318536.0,613952056.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,553811251.0,527545308.0,1018585616.0,1802855131.0,1067731121.0,684306499.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,1749392.0,-717401.0,1024310.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-2503915835.0,-161240553.0,-767001502.0,0.0,-728030314.0,-1018796892.0
9,Chi phí lãi vay,797961722.0,194494677.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,-706971305.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-4402968257.0,2506503511.0,8125697929.0,-712806291.0,2031615531.0,2437588600.0
13,(Tăng)/giảm hàng tồn kho,-6903153504.0,1009140515.0,1270892537.0,405746685.0,-2007288986.0,2466171451.0
14,Tăng/(giảm) các khoản phải trả,9426166140.0,-11955010506.0,-2260466713.0,1140751043.0,2893281998.0,-12347427212.0
15,( Tăng)/giảm chi phí trả trước,-91321132.0,-98749387.0,101269445.0,107358190.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-797961722.0,-194494677.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-612074736.0,-986980451.0,-754264044.0,-227640365.0,-258257439.0
19,Tiền thu khác từ các hoạt động kinh doanh,2960289845.0,0.0,2000000.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,1392209407.0,-303726113.0,-687158000.0,-81700000.0,-148700000.0,-54360000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-6125128238.0,1730995830.0,-2922748647.0,-12190020800.0,-3890766447.0,4101868258.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-8655084573.0,-177044545.0,-91117273.0,-45000000.0,0.0,-33627273.0
23,Tiền thu được từ thanh lý tài sản cố định,2267280000.0,203146917.0,247272727.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-7400000000.0,-4600000000.0,-3515041096.0,-12632904561.0,-9403329866.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,7426040500.0,6200000000.0,0.0,0.0,4526382357.0,3074893166.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,236635835.0,104893458.0,436136995.0,487883761.0,986181062.0,1060602365.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,1731650000.0,-1215000000.0,-1620000000.0,-2065500000.0,-1579500000.0,-1093500000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,5950000000.0,14607526310.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,-3408350000.0,-14607526310.0,0.0,0.0,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-810000000.0,-1215000000.0,-1620000000.0,-2065500000.0,-1579500000.0,-1093500000.0
37,Lưu chuyển tiền thuần trong kỳ,-68890477.0,-5377751769.0,5389658109.0,-9835178640.0,-563189282.0,-2406480996.0
38,Tiền và tương đương tiền đầu kỳ,2833475527.0,7417543167.0,14126485998.0,19516144107.0,9679216075.0,9116744194.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,-1749392.0,717401.0,-1024310.0
40,Tiền và tương đương tiền cuối kỳ,2764585050.0,2039791398.0,19516144107.0,9679216075.0,9116744194.0,6709238888.0
