,CHỈ TIÊU,2011,2013,2019,2020,2021,2022
0,TỔNG TÀI SẢN,42829237201.0,47600665727.0,68090683818.0,68913819621.0,72028077850.0,60335482572.0
1,TÀI SẢN NGẮN HẠN,32434824091.0,38589292287.0,56849816389.0,58322873743.0,62568169808.0,51455899313.0
2,Tiền và tương đương tiền,2764585050.0,2039791398.0,19516144107.0,9679216075.0,9116744194.0,6709238888.0
3,Tiền,2764585050.0,2039791398.0,14264669321.0,3339228041.0,7516744194.0,4709238888.0
4,Các khoản tương đương tiền,0.0,0.0,5251474786.0,6339988034.0,1600000000.0,2000000000.0
5,Giá trị thuần đầu tư ngắn hạn,900000000.0,400000000.0,3515041096.0,16147945657.0,21024893166.0,17950000000.0
6,Đầu tư ngắn hạn,900000000.0,400000000.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,3515041096.0,16147945657.0,21024893166.0,17950000000.0
9,Các khoản phải thu,17745148363.0,23643633000.0,28092618384.0,27599166858.0,25181544937.0,22124888882.0
10,Phải thu khách hàng,15854045605.0,17692886134.0,19160257244.0,16150276023.0,17569175390.0,15893904007.0
11,Trả trước người bán,744937329.0,2107068410.0,1150907962.0,1485970928.0,2228407594.0,1395140594.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,1146165429.0,4168076847.0,12219673826.0,16203995686.0,11896459302.0,12032648129.0
16,Dự phòng nợ khó đòi,0.0,-324398391.0,-4438220648.0,-6241075779.0,-6512497349.0,-7196803848.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0
