,Unnamed: 0,Q1 2011,Q4 2011,Q1 2012,Q1 2013,Q2 2013,Q4 2013,Q1 2014,Q4 2014,Q1 2015
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-1555686791.0,2701756169.0,3580730464.0,-3202247423.0,1364734444.0,-1956269420.0,-5027376249.0,5676018906.0,1989206337.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0,4535842177.0,0.0,0.0,0.0,0.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0,-9809851199.0,0.0,0.0,0.0,0.0
3,Khấu hao TSCĐ,4029070860.0,0.0,4022318770.0,0.0,8039201982.0,0.0,0.0,0.0,4014454557.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,2388697165.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,3917794229.0,0.0,0.0,0.0,0.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0,-285969338.0,0.0,0.0,0.0,0.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,2342852758.0,0.0,0.0,0.0,0.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0,-9738551530.0,0.0,0.0,0.0,0.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,5839624702.0,0.0,0.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,-1250295234.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,-78769091.0,0.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,22150312739.0,0.0,0.0,0.0,0.0,-531979.0,21964800000.0,0.0,180000000.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-205155121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,22355467860.0,0.0,0.0,0.0,0.0,0.0,21964800000.0,0.0,180000000.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,0.0,0.0,0.0,0.0,-531979.0,0.0,0.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-20337094550.0,-4576120431.0,-3442201781.0,690640000.0,-2508672000.0,-422800000.0,-17857078116.0,-4074000000.0,-4455600000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,677425450.0,10552646668.0,10243703937.0,1210640000.0,1210640000.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,-21014520000.0,-15120787099.0,-13685905718.0,-520000000.0,-3708140000.0,-422800000.0,-17857078116.0,-4074000000.0,-4455600000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-7980000.0,0.0,0.0,-11172000.0,0.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,257531398.0,-1874364262.0,138528683.0,-2511607423.0,-1143937556.0,-2379601399.0,-919654365.0,1602018906.0,-2286393663.0
38,Tiền và tương đương tiền đầu kỳ,91583414.0,1962652976.0,67852929.0,2720801686.0,2720801686.0,3772098895.0,1389277959.0,972467070.0,2603792326.0
39,Ảnh hưởng của chênh lệch tỷ giá,24813781.0,-20435785.0,0.0,0.0,22965862.0,-3219537.0,0.0,29306350.0,2026400.0
40,Tiền và tương đương tiền cuối kỳ,373928593.0,67852929.0,206381612.0,209194263.0,1599829992.0,1389277959.0,469623594.0,2603792326.0,319425063.0
