,CHỈ TIÊU,Q2 2016,Q2 2017
0,Doanh số,7549665833.0,8262159378.0
1,Các khoản giảm trừ,0.0,0.0
2,Doanh số thuần,7549665833.0,8262159378.0
3,Giá vốn hàng bán,-5816142667.0,-6483194398.0
4,Lãi gộp,1733523166.0,1778964980.0
5,Thu nhập tài chính,250435479.0,483724833.0
6,Chi phí tài chính,-84309000.0,-103433700.0
7,Trong đó: Chi phí lãi vay,-84309000.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0
9,Chi phí bán hàng,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-1284958354.0,-1469716461.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,614691291.0,689539652.0
12,Thu nhập khác,49019300.0,6000000.0
13,Chi phí khác,-1075557.0,-5654332.0
14,"Thu nhập khác, ròng",47943743.0,345668.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,662635034.0,689885320.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,662635034.0,689885320.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,662635034.0,689885320.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0
