,CHỈ TIÊU,Q4 2020,Q4 2020.1,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,17477624045.0,17477624045.0,109556261800.0,80462615315.0,6846157173.0,13559538479.0,109022420084.0,46967404567.0,58833552470.0,46567201036.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,17477624045.0,17477624045.0,109556261800.0,80462615315.0,6846157173.0,13559538479.0,109022420084.0,46967404567.0,58833552470.0,46567201036.0
3,Giá vốn hàng bán,-15811609431.0,-15811609431.0,-104709048591.0,-65470989988.0,-6567320713.0,-11117622160.0,-91413695561.0,-39302245776.0,-51888238972.0,-41218310546.0
4,Lãi gộp,1666014614.0,1666014614.0,4847213209.0,14991625327.0,278836460.0,2441916319.0,17608724523.0,7665158791.0,6945313498.0,5348890490.0
5,Thu nhập tài chính,1979114793.0,1979114793.0,2036509819.0,2049243333.0,2740510138.0,2741171362.0,2295411061.0,1706035026.0,1593856286.0,1973035499.0
6,Chi phí tài chính,-1680626129.0,-1680626129.0,-3312622867.0,-9440245104.0,-1326845981.0,-3108877669.0,-10216476157.0,-4909967515.0,-6750008077.0,-3227441438.0
7,Trong đó: Chi phí lãi vay,-1680626129.0,-1680626129.0,0.0,-12514936464.0,-1190144611.0,-3108877669.0,0.0,-15259253442.0,-6750008077.0,-3089153767.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-122369677.0,-122369677.0,-390002582.0,-417263074.0,-80983854.0,-130775069.0,-173488924.0,-296717995.0,-44590146.0,-224085766.0
10,Chi phí quản lý doanh  nghiệp,-731013450.0,-731013450.0,-1754576710.0,-2655611050.0,-506863454.0,-786584183.0,-4371850134.0,-498281334.0,-513333494.0,-1433239036.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1111120151.0,1111120151.0,1426520869.0,4527749432.0,1104653309.0,1156850760.0,5142320369.0,3666226973.0,1231238067.0,2437159749.0
12,Thu nhập khác,0.0,0.0,28440308.0,0.0,0.0,34749610.0,0.0,786471132.0,900000.0,2304821.0
13,Chi phí khác,-386624031.0,-386624031.0,-400664304.0,-522633243.0,-263713647.0,-268515321.0,-649792509.0,-171767386.0,-422477832.0,-432630080.0
14,"Thu nhập khác, ròng",-386624031.0,-386624031.0,-372223996.0,-522633243.0,-263713647.0,-233765711.0,-649792509.0,614703746.0,-421577832.0,-430325259.0
16,Lãi/(lỗ) ròng trước thuế,724496120.0,724496120.0,1054296873.0,4005116189.0,840939662.0,923085049.0,4492527860.0,4280930719.0,809660235.0,2006834490.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-360630528.0,-360630528.0,-396284948.0,-656620668.0,-420379047.0,-526822510.0,-592825206.0,-987479069.0,-387304727.0,-409200229.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-360630528.0,-360630528.0,-396284948.0,-656620668.0,-420379047.0,-526822510.0,-592825206.0,-987479069.0,-387304727.0,-409200229.0
20,Lãi/(lỗ) thuần sau thuế,363865592.0,363865592.0,658011925.0,3348495521.0,420560615.0,396262539.0,3899702654.0,3293451650.0,422355508.0,1597634261.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,363865592.0,363865592.0,658011925.0,3348495521.0,420560615.0,396262539.0,3899702654.0,3293451650.0,422355508.0,1597634261.0
23,Lãi cơ bản trên cổ phiếu,65.0,65.0,117.0,594.0,83.0,70.0,692.0,743.0,83.0,315.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
