,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q4 2022.1
0,Doanh số,252025084320.0,278205230762.0,261666262555.0,330285658967.0,291511045033.0,305598486833.0,320573021106.0,424236726094.0,272346566862.0,272346566862.0
1,Các khoản giảm trừ,-379124.0,-616076000.0,-143939200.0,-15617924.0,0.0,0.0,-1128039571.0,-224869261.0,-1148932.0,-1148932.0
2,Doanh số thuần,252024705196.0,277589154762.0,261522323355.0,330270041043.0,291511045033.0,305598486833.0,319444981535.0,424011856833.0,272345417930.0,272345417930.0
3,Giá vốn hàng bán,-230112944901.0,-254168114462.0,-235894433793.0,-308864792869.0,-270198171586.0,-285805353444.0,-295448640717.0,-394036309206.0,-248368389872.0,-248368389872.0
4,Lãi gộp,21911760295.0,23421040300.0,25627889562.0,21405248174.0,21312873447.0,19793133389.0,23996340818.0,29975547627.0,23977028058.0,23977028058.0
5,Thu nhập tài chính,1996660001.0,996330893.0,1565522795.0,1662820888.0,2017674096.0,1419481085.0,1541911552.0,1681030398.0,1500544237.0,1500544237.0
6,Chi phí tài chính,-10124039344.0,-10093185365.0,-11015401849.0,-10381690963.0,-10228895211.0,-9170526041.0,-11745453980.0,-12981851670.0,-12657210199.0,-12657210199.0
7,Trong đó: Chi phí lãi vay,-9218340640.0,-9411442583.0,-9954119823.0,-9748320625.0,-9302095041.0,-8944174747.0,-9465347208.0,-8246848874.0,-12219070868.0,-12219070868.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-4910777878.0,-6555798666.0,-8127543790.0,-3178005899.0,-4229482931.0,-4198520052.0,-5002396872.0,-4508954905.0,-3502395570.0,-3502395570.0
10,Chi phí quản lý doanh  nghiệp,-5055090981.0,-3910444754.0,-5039077627.0,-3143350790.0,-4294273339.0,-4831308642.0,-4696523561.0,-4124171273.0,-5180180976.0,-5180180976.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,3818512093.0,3857942408.0,3011389091.0,6365021410.0,4577896062.0,3012259739.0,4093877957.0,10041600177.0,4137785550.0,4137785550.0
12,Thu nhập khác,273084230.0,15197219.0,17870211.0,5705990.0,3188219.0,100635.0,213304.0,936003903.0,172664151.0,172664151.0
13,Chi phí khác,-89244297.0,-367274332.0,-617677553.0,-47638481.0,-31201915.0,1998729.0,-140229702.0,-1006524040.0,-224499122.0,-224499122.0
14,"Thu nhập khác, ròng",183839933.0,-352077113.0,-599807342.0,-41932491.0,-28013696.0,2099364.0,-140016398.0,-70520137.0,-51834971.0,-51834971.0
16,Lãi/(lỗ) ròng trước thuế,4002352026.0,3505865295.0,2411581749.0,6323088919.0,4549882366.0,3014359103.0,3953861559.0,9971080040.0,4085950579.0,4085950579.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-806052209.0,-759800589.0,-482456024.0,-1264737356.0,-910079752.0,-603567486.0,-790772312.0,-2081822527.0,-862770923.0,-862770923.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-806052209.0,-759800589.0,-482456024.0,-1264737356.0,-910079752.0,-603567486.0,-790772312.0,-2081822527.0,-862770923.0,-862770923.0
20,Lãi/(lỗ) thuần sau thuế,3196299817.0,2746064706.0,1929125725.0,5058351563.0,3639802614.0,2410791617.0,3163089247.0,7889257513.0,3223179656.0,3223179656.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3196299817.0,2746064706.0,1929125725.0,5058351563.0,3639802614.0,2410791617.0,3163089247.0,7889257513.0,3223179656.0,3223179656.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
