,CHỈ TIÊU,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014
0,Doanh số,46046250185.0,25320180138.0,94214108226.0,94214108226.0,52078196385.0,21741800541.0,17301498942.0,32883469327.0,22011886892.0,40238930472.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,46046250185.0,25320180138.0,94214108226.0,94214108226.0,52078196385.0,21741800541.0,17301498942.0,32883469327.0,22011886892.0,40238930472.0
3,Giá vốn hàng bán,-46402177158.0,-23915038224.0,-85297374420.0,-85297374420.0,-47590846679.0,-23093532794.0,-15943047456.0,-36726378164.0,-16562114415.0,-31829921444.0
4,Lãi gộp,-355926973.0,1405141914.0,8916733806.0,8916733806.0,4487349706.0,-1351732253.0,1358451486.0,-3842908837.0,5449772477.0,8409009028.0
5,Thu nhập tài chính,171253781.0,20604154.0,34455700.0,34455700.0,22305177.0,47674055.0,23219085.0,15805362.0,11146092.0,11400214.0
6,Chi phí tài chính,-3978318164.0,-5718473425.0,-12343830998.0,-12343830998.0,-9067621345.0,-9100077904.0,-8546745381.0,-8000864174.0,-2832593872.0,-5367090418.0
7,Trong đó: Chi phí lãi vay,-3978318164.0,-5718473425.0,-12343830998.0,-12343830998.0,-9067621345.0,-9100077904.0,-8546745381.0,-8000864174.0,-2832593872.0,-5367090418.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-6205011903.0,-5104915644.0,-6716803592.0,-6716803592.0,-3808642336.0,-3552393226.0,-3080127673.0,-4622149552.0,-2510003430.0,-2905011237.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-10368003259.0,-9397643001.0,-10109445084.0,-10109445084.0,-8366608798.0,-13956529328.0,-10245202483.0,-16450117201.0,118321267.0,148307587.0
12,Thu nhập khác,197537969.0,459998.0,307556240.0,307556240.0,18694681.0,58811830.0,372759673.0,13419539638.0,17495455.0,0.0
13,Chi phí khác,-458250899.0,-2951608.0,-197144840.0,-197144840.0,-25420993.0,-855694688.0,-19359985.0,-323914927.0,-29303361.0,-48610946.0
14,"Thu nhập khác, ròng",-260712930.0,-2491610.0,110411400.0,110411400.0,-6726312.0,-796882858.0,353399688.0,13095624711.0,-11807906.0,-48610946.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-10628716189.0,-9400134611.0,-9999033684.0,-9999033684.0,-8373335110.0,-14753412186.0,-9891802795.0,-3354492490.0,106513361.0,99696641.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-12987689.0,-412403.0,545243.0,545243.0,0.0,0.0,0.0,0.0,0.0,-1512101.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-12987689.0,-412403.0,545243.0,545243.0,0.0,0.0,0.0,0.0,0.0,-1512101.0
20,Lãi/(lỗ) thuần sau thuế,-10641703878.0,-9400547014.0,-9998488441.0,-9998488441.0,-8373335110.0,-14753412186.0,-9891802795.0,-3354492490.0,106513361.0,98184540.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-10641703878.0,-9400547014.0,-9998488441.0,-9998488441.0,-8373335110.0,-14753412186.0,-9891802795.0,-3354492490.0,106513361.0,98184540.0
23,Lãi cơ bản trên cổ phiếu,-968.0,-855.0,-909.0,-909.0,-761.0,-1341.0,-899.0,-305.0,10.0,9.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
