,CHỈ TIÊU,2016,2017,2018,2019,2021,2022
0,Doanh số,53215418889.0,61897171606.0,81650795825.0,88604353810.0,116221210224.0,124310559052.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,-64063636.0,0.0
2,Doanh số thuần,53215418889.0,61897171606.0,81650795825.0,88604353810.0,116157146588.0,124310559052.0
3,Giá vốn hàng bán,-44650726363.0,-52052603109.0,-70851863923.0,-77096515085.0,-100823400026.0,-106524324444.0
4,Lãi gộp,8564692526.0,9844568497.0,10798931902.0,11507838725.0,15333746562.0,17786234608.0
5,Thu nhập tài chính,467941837.0,465888858.0,193067525.0,214294360.0,299695171.0,579293475.0
6,Chi phí tài chính,0.0,0.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-7826915347.0,-8727744917.0,-9243077940.0,-9193840056.0,-11187242706.0,-12850077160.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1205719016.0,1582712438.0,1748921487.0,2528293029.0,4446199027.0,5515450923.0
12,Thu nhập khác,160626021.0,608407802.0,857907157.0,226359999.0,48983169.0,14947737.0
13,Chi phí khác,-36045795.0,-3264120.0,-6030831.0,-1446.0,-5976634.0,-832079053.0
14,"Thu nhập khác, ròng",124580226.0,605143682.0,851876326.0,226358553.0,43006535.0,-817131316.0
16,Lãi/(lỗ) ròng trước thuế,1330299242.0,2187856120.0,2600797813.0,2754651582.0,4489205562.0,4698319607.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-271746333.0,-459941048.0,-521365729.0,-550930316.0,-899036439.0,-1080747784.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-271746333.0,-459941048.0,-521365729.0,-550930316.0,-899036439.0,-1080747784.0
20,Lãi/(lỗ) thuần sau thuế,1058552909.0,1727915072.0,2079432084.0,2203721266.0,3590169123.0,3617571823.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1058552909.0,1727915072.0,2079432084.0,2203721266.0,3590169123.0,3617571823.0
23,Lãi cơ bản trên cổ phiếu,53.0,864.0,1040.0,0.0,0.0,1809.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,1809.0
