,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,TỔNG TÀI SẢN,4807296468.0,13785025107.0,56720222940.0,297548475748.0,269464057821.0,265869714165.0,262843301781.0,170289798518.0,163701408390.0
1,TÀI SẢN NGẮN HẠN,4807296468.0,13785025107.0,56693339632.0,246436496594.0,266431778716.0,213524361756.0,39886855440.0,10567979724.0,4331666415.0
2,Tiền và tương đương tiền,405431772.0,231399114.0,8408579718.0,1439660889.0,1259099596.0,15431408150.0,489446408.0,2108886661.0,4269280075.0
3,Tiền,405431772.0,231399114.0,8408579718.0,1439660889.0,1259099596.0,15431408150.0,489446408.0,2108886661.0,4269280075.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,500000000.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,500000000.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,956410889.0,7759008638.0,38553069511.0,213362193020.0,247844235741.0,182665951968.0,31029416561.0,8427090487.0,44000000.0
10,Phải thu khách hàng,951410889.0,7331289239.0,1948253943.0,14266363449.0,17245725885.0,11742253942.0,9116309561.0,937090487.0,0.0
11,Trả trước người bán,0.0,352694399.0,529790568.0,199769341858.0,228994121029.0,141827408700.0,797500000.0,40000000.0,44000000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,19000000000.0,0.0,7450000000.0,0.0
15,Phải thu khác,5000000.0,75025000.0,36075025000.0,87700285.0,2034700285.0,10096289326.0,21115607000.0,0.0,0.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,-761212572.0,-430311458.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",3161266473.0,5372298177.0,9342283176.0,30964396916.0,17328443379.0,15328552600.0,8276801745.0,0.0,0.0
19,Hàng tồn kho,3161266473.0,5372298177.0,9342283176.0,30964396916.0,17328443379.0,15328552600.0,8276801745.0,0.0,0.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,284187334.0,422319178.0,389407227.0,170245769.0,0.0,98449038.0,91190726.0,32002576.0,18386340.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,0.0,51617120.0,73330886.0,12030475.0,526500.0
23,Thuế VAT phải thu,284187334.0,422319178.0,389407227.0,170245769.0,0.0,46831918.0,0.0,2112261.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,17859840.0,17859840.0,17859840.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,0.0,0.0,26883308.0,51111979154.0,3032279105.0,52345352409.0,222956446341.0,159721818794.0,159369741975.0
28,Phải thu dài hạn,0.0,0.0,0.0,45689358750.0,0.0,49480000000.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,45689358750.0,0.0,49480000000.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,0.0,0.0,0.0,1500000000.0,2922690702.0,2704015859.0,3169732080.0,2179592939.0,1926572142.0
37,GTCL TSCĐ hữu hình,0.0,0.0,0.0,1500000000.0,1312500000.0,1155354797.0,1082600658.0,753991157.0,562500000.0
38,Nguyên giá TSCĐ hữu hình,0.0,0.0,0.0,1500000000.0,1500000000.0,1539545455.0,1930454546.0,1539545455.0,1500000000.0
39,Khấu hao lũy kế TSCĐ hữu hình,0.0,0.0,0.0,0.0,-187500000.0,-384190658.0,-847853888.0,-785554298.0,-937500000.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,1610190702.0,1548661062.0,2087131422.0,1425601782.0,1364072142.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,1661300000.0,1661300000.0,2261300000.0,1661300000.0,1661300000.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,-51109298.0,-112638938.0,-174168578.0,-235698218.0,-297227858.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157439624000.0,157439624000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157439624000.0,157439624000.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,0.0,26883308.0,3922620404.0,109588403.0,161336550.0,219786714261.0,102601855.0,3545833.0
59,Trả trước dài hạn,0.0,0.0,26883308.0,55953737.0,109588403.0,161336550.0,117511394.0,102601855.0,3545833.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,1973223007.0,10623910559.0,15530844422.0,43982893868.0,14966671412.0,11087890131.0,9576965220.0,6218815000.0,410685512.0
65,Nợ ngắn hạn,1973223007.0,10623910559.0,15530844422.0,43982893868.0,14966671412.0,11087890131.0,9576965220.0,6218815000.0,410685512.0
66,Phải trả người bán,1493223007.0,5441804497.0,14019370962.0,27387579476.0,4290345079.0,4491690912.0,2540825632.0,0.0,0.0
67,Người mua trả tiền trước,0.0,3241540783.0,937899007.0,2655897922.0,4367680413.0,250000000.0,0.0,0.0,0.0
