,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Doanh số,39884290900.0,32703704949.0,53621252768.0,100882528685.0,131921144076.0,97712403516.0,122417329364.0,108975266653.0,84518039994.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,39884290900.0,32703704949.0,53621252768.0,100882528685.0,131921144076.0,97712403516.0,122417329364.0,108975266653.0,84518039994.0
3,Giá vốn hàng bán,-27061373919.0,-18469290641.0,-36776317975.0,-78637140682.0,-107433319692.0,-77295349447.0,-98559029754.0,-88679493357.0,-68259415148.0
4,Lãi gộp,12822916981.0,14234414308.0,16844934793.0,22245388003.0,24487824384.0,20417054069.0,23858299610.0,20295773296.0,16258624846.0
5,Thu nhập tài chính,3046387428.0,2267317930.0,1895487584.0,1923457262.0,1908469713.0,1919360482.0,1518781754.0,1393087693.0,805184795.0
6,Chi phí tài chính,-2720000000.0,240000000.0,0.0,54628342.0,-226947.0,980000000.0,-5972969.0,-17424424.0,-1671180.0
7,Trong đó: Chi phí lãi vay,-5763031778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-5763031778.0,-4985985136.0,-6953529783.0,-12157217838.0,-14965023434.0,-11364465696.0,-10791104848.0,-9909148970.0,-9466073061.0
10,Chi phí quản lý doanh  nghiệp,-6956947039.0,-7571348208.0,-9696765066.0,-8034810851.0,-7063276501.0,-6598108934.0,-9008550352.0,-7089141879.0,-5483756656.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,429325592.0,4184398894.0,2090127528.0,4031444918.0,4367767215.0,5353839921.0,5571453195.0,4673145716.0,2112308744.0
12,Thu nhập khác,2777308144.0,689674277.0,11938689.0,120130528.0,54443315.0,150390910.0,504121340.0,1267625980.0,53500000.0
13,Chi phí khác,-384537833.0,-448327365.0,-473752089.0,-519468392.0,-16144379.0,-322351401.0,-46178642.0,-21963254.0,-1130156.0
14,"Thu nhập khác, ròng",2392770311.0,241346912.0,-461813400.0,-399337864.0,38298936.0,-171960491.0,457942698.0,1245662726.0,52369844.0
16,Lãi/(lỗ) ròng trước thuế,2822095903.0,4425745806.0,1628314128.0,3632107054.0,4406066151.0,5181879430.0,6029395893.0,5918808442.0,2164678588.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1607829244.0,-919727326.0,-611628076.0,-753493229.0,-951979897.0,-935656142.0,-1239135450.0,-895605368.0,-390255180.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,618137248.0,69336668.0,-116041678.0,-177591806.0,0.0,-196000000.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-989691996.0,-850390658.0,-727669754.0,-931085035.0,-951979897.0,-1131656142.0,-1239135450.0,-895605368.0,-390255180.0
20,Lãi/(lỗ) thuần sau thuế,1832403907.0,3575355148.0,900644374.0,2701022019.0,3454086254.0,4050223288.0,4790260443.0,5023203074.0,1774423408.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1832403907.0,3575355148.0,900644374.0,2701022019.0,3454086254.0,4050223288.0,4790260443.0,5023203074.0,1774423408.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,500.0,1271.0,1919.0,2250.0,2661.0,2791.0,986.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
