,CHỈ TIÊU,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,268377332600.0,492080122671.0,623993797217.0,1776222275366.0,1609112175506.0,1709454552751.0
1,TÀI SẢN NGẮN HẠN,202683606838.0,331146902724.0,433481226126.0,1460115745957.0,1357824550707.0,1506695460070.0
2,Tiền và tương đương tiền,30752144006.0,36863791491.0,76902267629.0,84532469790.0,82242409111.0,304377094190.0
3,Tiền,30752144006.0,36863791491.0,76902267629.0,77145849790.0,71660308819.0,293569116870.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,7386620000.0,10582100292.0,10807977320.0
5,Giá trị thuần đầu tư ngắn hạn,42500000000.0,42500000000.0,0.0,885924580000.0,767160418450.0,635024617561.0
6,Đầu tư ngắn hạn,42500000000.0,42500000000.0,0.0,841424580000.0,767160418450.0,628610418450.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,6414199111.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,44500000000.0,0.0,0.0
9,Các khoản phải thu,119568711687.0,231245163063.0,351545956321.0,470753409457.0,423310478813.0,443734763354.0
10,Phải thu khách hàng,78148630949.0,219031308900.0,325711784364.0,406859842757.0,364348122452.0,406794092857.0
11,Trả trước người bán,2539880940.0,5204446082.0,6763471105.0,8079028946.0,9846747213.0,5374907977.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,8280000000.0,7480000000.0,3750000000.0,3750000000.0,30750000000.0,750000000.0
15,Phải thu khác,47359324852.0,21146784751.0,15488436583.0,54258667607.0,43979979299.0,62521184034.0
16,Dự phòng nợ khó đòi,-16759125054.0,-21617376670.0,-167735731.0,-2194129853.0,-25614370151.0,-31705421514.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",5081700521.0,11508077173.0,2272879830.0,15914499008.0,78612931826.0,114494751754.0
19,Hàng tồn kho,5081700521.0,11508077173.0,2272879830.0,15914499008.0,78612931826.0,114494751754.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0
