,CHỈ TIÊU,Q1 2015,Q2 2015,Q2 2017
0,TỔNG TÀI SẢN,46245896576.0,45471430774.0,58009858823.0
1,TÀI SẢN NGẮN HẠN,32088480486.0,31706926698.0,58071131178.0
2,Tiền và tương đương tiền,4080959719.0,3805895781.0,1369732880.0
3,Tiền,4080959719.0,3805895781.0,1369732880.0
4,Các khoản tương đương tiền,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,750000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,750000000.0
9,Các khoản phải thu,20117314741.0,18903063141.0,42615397154.0
10,Phải thu khách hàng,1439402132.0,325698032.0,124702728.0
11,Trả trước người bán,440000700.0,360000700.0,758080000.0
12,Phải thu nội bộ,0.0,0.0,3173965152.0
13,Phải thu về XDCB,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0
15,Phải thu khác,25996846999.0,25976299499.0,38558649274.0
16,Dự phòng nợ khó đòi,-7758935090.0,-7758935090.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",6710788207.0,7802638841.0,12605338000.0
19,Hàng tồn kho,7576734135.0,8845772900.0,12605338000.0
20,Dự phòng giảm giá HTK,-865945928.0,-1043134059.0,0.0
21,Tài sản lưu động khác,1179417819.0,1195328935.0,730663144.0
22,Trả trước ngắn hạn,71999127.0,0.0,0.0
23,Thuế VAT phải thu,478061548.0,546118843.0,69927208.0
24,Phải thu thuế khác,3618750.0,0.0,6000000.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
26,Tài sản lưu động khác,625738394.0,649210092.0,654735936.0
27,TÀI SẢN DÀI HẠN,14157416090.0,13764504076.0,-61272355.0
28,Phải thu dài hạn,0.0,0.0,82980000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0
