,CHỈ TIÊU,Q1 2015,Q2 2015
0,Doanh số,11074001641.0,10119953665.0
1,Các khoản giảm trừ,0.0,0.0
2,Doanh số thuần,11074001641.0,10119953665.0
3,Giá vốn hàng bán,-7666570088.0,-6438185817.0
4,Lãi gộp,3407431553.0,3681767848.0
5,Thu nhập tài chính,8248447.0,19519013.0
6,Chi phí tài chính,-2019776513.0,-558210.0
7,Trong đó: Chi phí lãi vay,0.0,-318210.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0
9,Chi phí bán hàng,-445116836.0,-403501104.0
10,Chi phí quản lý doanh  nghiệp,-2008440349.0,-1803438480.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-1057653698.0,1493789067.0
12,Thu nhập khác,155537822.0,87437077.0
13,Chi phí khác,-100246707.0,-1160364559.0
14,"Thu nhập khác, ròng",55291115.0,-1072927482.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-1002362583.0,420861585.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-120619983.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-120619983.0
20,Lãi/(lỗ) thuần sau thuế,-1002362583.0,300241602.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-1002362583.0,300241602.0
23,Lãi cơ bản trên cổ phiếu,0.0,100.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0
