,CHỈ TIÊU,2021
0,TỔNG TÀI SẢN,12711845075.0
1,TÀI SẢN NGẮN HẠN,5427211740.0
2,Tiền và tương đương tiền,1755414065.0
3,Tiền,1755414065.0
4,Các khoản tương đương tiền,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0
6,Đầu tư ngắn hạn,0.0
7,Dự phòng đầu tư ngắn hạn,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0
9,Các khoản phải thu,3560416247.0
10,Phải thu khách hàng,970536939.0
11,Trả trước người bán,19650000.0
12,Phải thu nội bộ,0.0
13,Phải thu về XDCB,0.0
14,Phải thu về cho vay ngắn hạn,900000000.0
15,Phải thu khác,2337046137.0
16,Dự phòng nợ khó đòi,-666816829.0
17,Tài sản thiếu chờ xử lý,0.0
18,"Hàng tồn kho, ròng",2739546.0
19,Hàng tồn kho,2739546.0
20,Dự phòng giảm giá HTK,0.0
21,Tài sản lưu động khác,108641882.0
22,Trả trước ngắn hạn,28617786.0
23,Thuế VAT phải thu,80024096.0
24,Phải thu thuế khác,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0
26,Tài sản lưu động khác,0.0
27,TÀI SẢN DÀI HẠN,7284633335.0
28,Phải thu dài hạn,0.0
29,Phải thu khách hàng dài hạn,0.0
30,Trả trước người bán dài hạn,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0
32,Phải thu nội bộ dài hạn,0.0
33,Phải thu về cho vay dài hạn,0.0
34,Phải thu dài hạn khác,0.0
35,Dự phòng phải thu dài hạn,0.0
36,Tài sản cố định,0.0
37,GTCL TSCĐ hữu hình,0.0
38,Nguyên giá TSCĐ hữu hình,60900000.0
39,Khấu hao lũy kế TSCĐ hữu hình,-60900000.0
40,GTCL Tài sản thuê tài chính,0.0
41,Nguyên giá tài sản thuê tài chính,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0
43,GTCL tài sản cố định vô hình,0.0
44,Nguyên giá TSCĐ vô hình,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0
46,Bất động sản đầu tư,0.0
47,Nguyên giá tài sản đầu tư,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0
49,Tài sản dở dang dài hạn,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0
52,Đầu tư dài hạn,7240000000.0
53,Đầu tư vào các công ty con,0.0
54,Đầu tư vào công ty liên doanh,0.0
55,Đầu tư dài hạn khác,7240000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0
58,Tài sản dài hạn khác,44633335.0
59,Trả trước dài hạn,44633335.0
60,Thuế thu nhập hoãn lại phải thu,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0
62,Các tài sản dài hạn khác,0.0
64,NỢ PHẢI TRẢ,1952707724.0
65,Nợ ngắn hạn,1952707724.0
66,Phải trả người bán,23500000.0
67,Người mua trả tiền trước,1783786380.0
68,Thuế và các khoản phải trả Nhà nước,85313082.0
69,Phải trả người lao động,60108262.0
70,Chi phí phải trả,0.0
71,Phải trả nội bộ,0.0
72,Phải trả về xây dựng cơ bản,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0
74,Phải trả khác,0.0
75,Vay ngắn hạn,0.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0
78,Quỹ bình ổn giá,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0
80,Nợ dài hạn,0.0
81,Phải trả nhà cung cấp dài hạn,0.0
82,Người mua trả tiền trước dài hạn,0.0
83,Chi phí phải trả dài hạn,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0
85,Phải trả nội bộ dài hạn,0.0
86,Doanh thu chưa thực hiên,0.0
87,Phải trả dài hạn khác,0.0
88,Vay dài hạn,0.0
89,Trái phiếu chuyển đổi,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0
94,Quỹ phát triển khoa học công nghệ,0.0
95,VỐN CHỦ SỞ HỮU,10759137351.0
96,Vốn và các quỹ,10759137351.0
97,Vốn góp,10740000000.0
98,Cổ phiếu phổ thông,10740000000.0
99,Cổ phiếu ưu đãi,0.0
100,Thặng dư vốn cổ phần,-1100000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0
102,Vốn khác,0.0
103,Cổ phiếu Quỹ,0.0
104,Chênh lệch đánh giá lại tài sản,0.0
105,Chênh lệch tỷ giá,0.0
106,Quỹ đầu tư và phát triển,0.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0
109,Quỹ khác,0.0
110,Lãi chưa phân phối,20237351.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,-1061076122.0
112,LNST chưa phân phối kỳ này,1081313473.0
113,Lợi ích cổ đông không kiểm soát,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0
116,Vốn ngân sách nhà nước,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0
119,TỔNG CỘNG NGUỒN VỐN,12711845075.0
