,CHỈ TIÊU,2021
0,Doanh số,1622768117.0
1,Các khoản giảm trừ,0.0
2,Doanh số thuần,1622768117.0
3,Giá vốn hàng bán,-1002841436.0
4,Lãi gộp,619926681.0
5,Thu nhập tài chính,2064601015.0
6,Chi phí tài chính,-2765500.0
7,Trong đó: Chi phí lãi vay,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0
9,Chi phí bán hàng,0.0
10,Chi phí quản lý doanh  nghiệp,-1622509673.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1059252523.0
12,Thu nhập khác,29973714.0
13,Chi phí khác,-3953349.0
14,"Thu nhập khác, ròng",26020365.0
16,Lãi/(lỗ) ròng trước thuế,1085272888.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-3959415.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-3959415.0
20,Lãi/(lỗ) thuần sau thuế,1081313473.0
21,Lợi ích của cổ đông thiểu số,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1081313473.0
23,Lãi cơ bản trên cổ phiếu,1724.0
24,Lãi trên cổ phiếu pha loãng,390.0
