,Unnamed: 0,2021
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-645732878.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-8078648985.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-1100000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,200000000.0
26,Đầu tư vào các doanh nghiệp khác,-7240000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0
28,Cổ tức và tiền lãi nhận được,61351015.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,8948900000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,8948900000.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0
32,Tiền thu được các khoản đi vay,0.0
33,Tiển trả các khoản đi vay,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0
35,Cổ tức đã trả,0.0
37,Lưu chuyển tiền thuần trong kỳ,224518137.0
38,Tiền và tương đương tiền đầu kỳ,1530895928.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0
40,Tiền và tương đương tiền cuối kỳ,1755414065.0
