,CHỈ TIÊU,2012,2013,2014,2015,2016
0,Doanh số,94730189529.0,58827795274.0,74018459071.0,60195502539.0,45726010023.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,-96330000.0
2,Doanh số thuần,94730189529.0,58827795274.0,74018459071.0,60195502539.0,45629680023.0
3,Giá vốn hàng bán,-88902186598.0,-53955669344.0,-66959824731.0,-55401727993.0,-48439196293.0
4,Lãi gộp,5828002931.0,4872125930.0,7058634340.0,4793774546.0,-2809516270.0
5,Thu nhập tài chính,172173595.0,219032888.0,168655976.0,64688360.0,946896584.0
6,Chi phí tài chính,-519506977.0,-294957972.0,-774046743.0,-1469645668.0,-1930616743.0
7,Trong đó: Chi phí lãi vay,-513058177.0,-294957972.0,-583140395.0,-1281521940.0,-999128425.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,-822104510.0,-468784479.0,-245190909.0
10,Chi phí quản lý doanh  nghiệp,-4256316911.0,-3742628238.0,-2991549816.0,-2904100267.0,-2618410380.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1224352638.0,1053572608.0,2639589247.0,15932492.0,-6656837718.0
12,Thu nhập khác,308445826.0,20677460.0,360001879.0,283695790.0,715161652.0
13,Chi phí khác,0.0,0.0,-30000000.0,-172160490.0,-1594770217.0
14,"Thu nhập khác, ròng",308445826.0,20677460.0,330001879.0,111535300.0,-879608565.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1532798464.0,1074250068.0,2969591126.0,127467792.0,-7536446283.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-268239731.0,-268562517.0,-653310048.0,-28042914.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-268239731.0,-268562517.0,-653310048.0,-28042914.0,0.0
20,Lãi/(lỗ) thuần sau thuế,1264558733.0,805687551.0,2316281078.0,99424878.0,-7536446283.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1264558733.0,805687551.0,2316281078.0,99424878.0,-7536446283.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,565.0,13.0,-960.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0
