,CHỈ TIÊU,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q3 2019,Q4 2019,Q2 2020
0,TỔNG TÀI SẢN,91241135567.0,87025578257.0,107675593185.0,87537758059.0,87736464718.0,85501738279.0,85012089985.0,94179058827.0,81256060652.0
1,TÀI SẢN NGẮN HẠN,65820242551.0,62386002816.0,83824648043.0,63923693725.0,64418197493.0,62102513409.0,63174179123.0,73406946895.0,60983241190.0
2,Tiền và tương đương tiền,4335193913.0,4454788176.0,9414353657.0,2797442726.0,5549542787.0,6420164955.0,8633321785.0,4600699599.0,7046046917.0
3,Tiền,4335193913.0,4454788176.0,9414353657.0,2797442726.0,5549542787.0,6420164955.0,8633321785.0,4600699599.0,7046046917.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,33246617475.0,32622349941.0,51682911279.0,35336248871.0,30396846779.0,28137427451.0,29142000394.0,47514352678.0,27420190388.0
10,Phải thu khách hàng,19030987881.0,18276295395.0,45245921399.0,25098166802.0,20631019902.0,19093597312.0,21370858277.0,39519865219.0,17642754314.0
11,Trả trước người bán,851587386.0,1180826464.0,808860739.0,1605822270.0,980153098.0,1060037125.0,319237001.0,1238829333.0,487648400.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,13364042208.0,13165228082.0,5628129141.0,8632259799.0,8785673779.0,7983793014.0,7451905116.0,6755658126.0,9289787674.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",27699313927.0,24881609699.0,22725260991.0,25553322168.0,26894712403.0,26902181123.0,25398856944.0,21145583280.0,26381869189.0
19,Hàng tồn kho,27699313927.0,24881609699.0,22725260991.0,25553322168.0,26894712403.0,26902181123.0,25398856944.0,21145583280.0,26381869189.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,539117236.0,427255000.0,2122116.0,236679960.0,1577095524.0,642739880.0,0.0,146311338.0,135134696.0
22,Trả trước ngắn hạn,374157000.0,427255000.0,0.0,208577000.0,1577095524.0,642739880.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,0.0,0.0,28102960.0,0.0,0.0,0.0,146311338.0,0.0
24,Phải thu thuế khác,164960236.0,0.0,2122116.0,0.0,0.0,0.0,0.0,0.0,135134696.0
