,Unnamed: 0,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2019
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,684122944.0,5849791025.0,-5957744673.0,2843403985.0,2126716567.0,-3891237827.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,1663690167.0,2565365916.0,753193387.0,484320810.0,330163471.0,1081740910.0
2,Lãi trước thuế,789903223.0,802694701.0,217926800.0,191480977.0,37021647.0,35016061.0
3,Khấu hao TSCĐ,781317575.0,1346284414.0,499269200.0,222756689.0,312130355.0,794111959.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,38720155.0,142125452.0,-2429280.0,2429280.0,0.0,-9983229.0
9,Chi phí lãi vay,53749214.0,274261349.0,38426667.0,67653864.0,-18988531.0,262596119.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,789227770.0,-19376959723.0,19121913211.0,4939402092.0,2259419328.0,-18372352284.0
13,(Tăng)/giảm hàng tồn kho,2817704228.0,2156348708.0,-2926154105.0,-1341390235.0,-7468720.0,4253273664.0
14,Tăng/(giảm) các khoản phải trả,-4387518122.0,19847467270.0,-23025864786.0,92501219.0,-2431093688.0,7567728733.0
15,( Tăng)/giảm chi phí trả trước,-53098000.0,323967000.0,-208577000.0,-1368518524.0,934355644.0,340786971.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-141768998.0,43088540.0,0.0,-137657531.0,2204000.0,-124852119.0
18,Thuế thu nhập doanh nghiệp đã trả,-4114101.0,-20000000.0,0.0,0.0,0.0,-209409152.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,310513314.0,327744620.0,-327744620.0,1541627306.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,502490774.0,-502490774.0,1571845450.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,2492208.0,-560247544.0,-259959112.0,96104429.0,-391127399.0,-66375727.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-562181520.0,-262388392.0,-60950000.0,-393088000.0,-69100000.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,155000000.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,2492208.0,1933976.0,2429280.0,2054429.0,1960601.0,2724273.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-567020889.0,-329978000.0,-394274247.0,-187408353.0,-864967000.0,-75008632.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,712003000.0,470000000.0,855000000.0,1559321000.0,105033000.0,742179536.0
33,Tiển trả các khoản đi vay,-1284011389.0,-790003000.0,-1249274247.0,-1746729353.0,-970000000.0,-783602080.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,4987500.0,-9975000.0,0.0,0.0,0.0,-33586088.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,119594263.0,4959565481.0,-6611978032.0,2752100061.0,870622168.0,-4032622186.0
38,Tiền và tương đương tiền đầu kỳ,4335193913.0,4454788176.0,9409420758.0,2797442726.0,5549542787.0,8633321785.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,4454788176.0,9414353657.0,2797442726.0,5549542787.0,6420164955.0,4600699599.0
