,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021
0,TỔNG TÀI SẢN,97924217842.0,106890219336.0,110345696045.0,97836107843.0,94179058827.0,85466352301.0,80448669904.0
1,TÀI SẢN NGẮN HẠN,70332105194.0,80532359618.0,86494750903.0,74926276636.0,73406946895.0,67077004046.0,61411017866.0
2,Tiền và tương đương tiền,1798261055.0,4480025607.0,9409420758.0,8793243901.0,4600699599.0,9907002799.0,3871790550.0
3,Tiền,1798261055.0,4480025607.0,9409420758.0,8793243901.0,4600699599.0,3907002799.0,3871790550.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,6000000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,44896102389.0,53126211325.0,54458162082.0,46408011597.0,47514352678.0,36321483374.0,32126628275.0
10,Phải thu khách hàng,34531033948.0,39854481807.0,45108653394.0,32900269370.0,39519865219.0,26941468097.0,18803643166.0
11,Trả trước người bán,1918580889.0,682178635.0,808624339.0,2257195912.0,1238829333.0,653791270.0,3201056420.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,8446487552.0,12589550883.0,8540884349.0,11250546315.0,6755658126.0,8726224007.0,10121928689.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",23567382798.0,22874478686.0,22627168063.0,19725021138.0,21145583280.0,20736617868.0,25026085514.0
19,Hàng tồn kho,23567382798.0,22874478686.0,22627168063.0,19725021138.0,21145583280.0,20736617868.0,25026085514.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,70358952.0,51644000.0,0.0,0.0,146311338.0,111900005.0,386513527.0
22,Trả trước ngắn hạn,43770681.0,51644000.0,0.0,0.0,0.0,0.0,112649916.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,146311338.0,0.0,264063357.0
24,Phải thu thuế khác,26588271.0,0.0,0.0,0.0,0.0,111900005.0,9800254.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,27592112648.0,26357859718.0,23850945142.0,22909831207.0,20772111932.0,18389348255.0,19037652038.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,27574732945.0,26345655833.0,23850945142.0,22554636327.0,20445126883.0,17984869627.0,18751707210.0
37,GTCL TSCĐ hữu hình,27504332945.0,26275255833.0,23780545142.0,22484236327.0,20374726883.0,17914469627.0,18681307210.0
38,Nguyên giá TSCĐ hữu hình,86240242371.0,88218581707.0,87748564667.0,88170873468.0,88239973468.0,86905725632.0,89090840734.0
39,Khấu hao lũy kế TSCĐ hữu hình,-58735909426.0,-61943325874.0,-63968019525.0,-65686637141.0,-67865246585.0,-68991256005.0,-70409533524.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,70400000.0,70400000.0,70400000.0,70400000.0,70400000.0,70400000.0,70400000.0
44,Nguyên giá TSCĐ vô hình,186400000.0,186400000.0,186400000.0,186400000.0,186400000.0,186400000.0,186400000.0
45,Khấu hao lũy kế TSCĐ vô hình,-116000000.0,-116000000.0,-116000000.0,-116000000.0,-116000000.0,-116000000.0,-116000000.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,17379703.0,12203885.0,0.0,355194880.0,326985049.0,404478628.0,285944828.0
59,Trả trước dài hạn,0.0,0.0,0.0,355194880.0,326985049.0,404478628.0,285944828.0
