,CHỈ TIÊU,Q3 2016,Q1 2019
0,Doanh số,208241078630.0,91477620983.0
1,Các khoản giảm trừ,0.0,0.0
2,Doanh số thuần,208241078630.0,91477620983.0
3,Giá vốn hàng bán,-196300049176.0,-79688497761.0
4,Lãi gộp,11941029454.0,11789123222.0
5,Thu nhập tài chính,453325183.0,1032172321.0
6,Chi phí tài chính,-702512366.0,-109534792.0
7,Trong đó: Chi phí lãi vay,-662508285.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0
9,Chi phí bán hàng,-727867990.0,-909080520.0
10,Chi phí quản lý doanh  nghiệp,-4499269796.0,-4460062407.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,6464704485.0,7342617824.0
12,Thu nhập khác,10262727.0,1363635.0
13,Chi phí khác,0.0,-22918385.0
14,"Thu nhập khác, ròng",10262727.0,-21554750.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,6474967212.0,7321063074.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1446742091.0,-1486525415.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1446742091.0,-1486525415.0
20,Lãi/(lỗ) thuần sau thuế,5028225121.0,5834537659.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,5028225121.0,5834537659.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0
