,CHỈ TIÊU,Q2 2016,Q3 2016,Q3 2017,Q1 2019
0,TỔNG TÀI SẢN,251201142101.0,294910352630.0,314906084830.0,257605810782.0
1,TÀI SẢN NGẮN HẠN,174806523401.0,179609258276.0,242681952819.0,231070129944.0
2,Tiền và tương đương tiền,50619800996.0,51934589751.0,90327426879.0,63974492656.0
3,Tiền,22961269162.0,18776057917.0,43536741477.0,24474492656.0
4,Các khoản tương đương tiền,27658531834.0,33158531834.0,46790685402.0,39500000000.0
5,Giá trị thuần đầu tư ngắn hạn,12000000000.0,14500000000.0,9000000000.0,34942674257.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,12000000000.0,14500000000.0,9000000000.0,34942674257.0
9,Các khoản phải thu,111848947868.0,110288185368.0,138955314587.0,123993018905.0
10,Phải thu khách hàng,71726630737.0,65934518950.0,89791382614.0,88858420104.0
11,Trả trước người bán,5004127580.0,758793694.0,1565654158.0,931884607.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0
15,Phải thu khác,39766556909.0,48243240082.0,52246645173.0,34385562888.0
16,Dự phòng nợ khó đòi,-4648367358.0,-4648367358.0,-4648367358.0,-182848694.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",337774537.0,391619091.0,2143097492.0,3292396154.0
19,Hàng tồn kho,337774537.0,391619091.0,2143097492.0,3292396154.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,0.0,2494864066.0,2256113861.0,4867547972.0
22,Trả trước ngắn hạn,0.0,0.0,2104961721.0,4867547972.0
23,Thuế VAT phải thu,0.0,2388364669.0,0.0,0.0
24,Phải thu thuế khác,0.0,106499397.0,151152140.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,76394618700.0,115301094354.0,72224132011.0,26535680838.0
28,Phải thu dài hạn,2190719784.0,2190719784.0,2132632179.0,2512915539.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,2190719784.0,2190719784.0,2132632179.0,2512915539.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0
36,Tài sản cố định,67603412993.0,105899522691.0,68668417012.0,23166677262.0
37,GTCL TSCĐ hữu hình,67603412993.0,105899522691.0,68668417012.0,23166677262.0
38,Nguyên giá TSCĐ hữu hình,210215885627.0,255411834935.0,257861523559.0,264716277105.0
39,Khấu hao lũy kế TSCĐ hữu hình,-142612472634.0,-149512312244.0,-189193106547.0,-241549599843.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,56100000.0,255220000.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,6600485923.0,7210851879.0,1366982820.0,600868037.0
59,Trả trước dài hạn,6600485923.0,4700474910.0,1366982820.0,600868037.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,2510376969.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,135374799908.0,174055785316.0,168885386811.0,100250073343.0
65,Nợ ngắn hạn,118592070791.0,146630310353.0,135434273106.0,100199073343.0
66,Phải trả người bán,27783639964.0,34963911522.0,39210856551.0,40606873968.0
67,Người mua trả tiền trước,21775200.0,11778200.0,274948100.0,7839000.0
68,Thuế và các khoản phải trả Nhà nước,4490405930.0,2233354536.0,4538004240.0,2905391809.0
69,Phải trả người lao động,9874535602.0,11701083524.0,12987086772.0,11494717238.0
70,Chi phí phải trả,60546127666.0,82146858624.0,65047288240.0,26688298369.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0
