,CHỈ TIÊU,Q1 2019
0,Doanh số,350839226832.0
1,Các khoản giảm trừ,0.0
2,Doanh số thuần,350839226832.0
3,Giá vốn hàng bán,-303054950539.0
4,Lãi gộp,47784276293.0
5,Thu nhập tài chính,1705035044.0
6,Chi phí tài chính,330320803.0
7,Trong đó: Chi phí lãi vay,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0
9,Chi phí bán hàng,-17451653073.0
10,Chi phí quản lý doanh  nghiệp,-11793436412.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,20574542655.0
12,Thu nhập khác,57727775.0
13,Chi phí khác,-14660000.0
14,"Thu nhập khác, ròng",43067775.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0
16,Lãi/(lỗ) ròng trước thuế,20617610430.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-4123522086.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-4123522086.0
20,Lãi/(lỗ) thuần sau thuế,16494088344.0
21,Lợi ích của cổ đông thiểu số,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,16494088344.0
23,Lãi cơ bản trên cổ phiếu,0.0
24,Lãi trên cổ phiếu pha loãng,0.0
