,CHỈ TIÊU,Q3 2008,Q3 2009,Q3 2014,Q3 2015
0,Doanh số,39199520836.0,34086066177.0,70773441041.0,55888313571.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0
2,Doanh số thuần,39199520836.0,34086066177.0,70773441041.0,55888313571.0
3,Giá vốn hàng bán,-31962235608.0,-26467941935.0,-55816340536.0,-43428222745.0
4,Lãi gộp,7237285228.0,7618124242.0,14957100505.0,12460090826.0
5,Thu nhập tài chính,222520274.0,389557603.0,208957665.0,50758403.0
6,Chi phí tài chính,-1957166561.0,-1673609613.0,-770741125.0,-437140202.0
7,Trong đó: Chi phí lãi vay,-1716862985.0,-1663333375.0,-628166592.0,-122095344.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1805532648.0,-1635378739.0,-1587388748.0,-1910978303.0
10,Chi phí quản lý doanh  nghiệp,-1536620427.0,-2276524158.0,-5913589396.0,-3552246167.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,2160485866.0,2422169335.0,6894338901.0,6610484557.0
12,Thu nhập khác,2219771862.0,1033278769.0,40743160.0,26153309.0
13,Chi phí khác,-1096254486.0,-23904780.0,-68898573.0,-126225544.0
14,"Thu nhập khác, ròng",1123517376.0,1009373989.0,-28155413.0,-100072235.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,3284003242.0,3431543324.0,6866183488.0,6510412322.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-704882381.0,-666621955.0,-996198200.0,-1000000000.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-704882381.0,-666621955.0,-996198200.0,-1000000000.0
20,Lãi/(lỗ) thuần sau thuế,2579120861.0,2764921369.0,5869985288.0,5510412322.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,2579120861.0,2764921369.0,5869985288.0,5510412322.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0
