,CHỈ TIÊU,Q3 2009,Q3 2015,Q2 2017
0,TỔNG TÀI SẢN,87041297679.0,124777124326.0,143467194605.0
1,TÀI SẢN NGẮN HẠN,65383240478.0,107015520741.0,119800304751.0
2,Tiền và tương đương tiền,2860071094.0,5862800549.0,11036646991.0
3,Tiền,2860071094.0,5862800549.0,11036646991.0
4,Các khoản tương đương tiền,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,408000000.0,838973154.0,1129000000.0
6,Đầu tư ngắn hạn,408000000.0,1129000000.0,1129000000.0
7,Dự phòng đầu tư ngắn hạn,0.0,-290026846.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0
9,Các khoản phải thu,26369481464.0,50958535553.0,56003152634.0
10,Phải thu khách hàng,27880414982.0,59587522747.0,59529406974.0
11,Trả trước người bán,945463001.0,2735390348.0,9422331045.0
12,Phải thu nội bộ,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0
15,Phải thu khác,846145463.0,1395051971.0,1727025635.0
16,Dự phòng nợ khó đòi,-3302541982.0,-12759429513.0,-14675611020.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",34519899252.0,49355211485.0,51458895321.0
19,Hàng tồn kho,37696422068.0,49355211485.0,51458895321.0
20,Dự phòng giảm giá HTK,-3176522816.0,0.0,0.0
21,Tài sản lưu động khác,1225788668.0,0.0,172609805.0
22,Trả trước ngắn hạn,148455464.0,0.0,0.0
23,Thuế VAT phải thu,87849650.0,0.0,172609805.0
24,Phải thu thuế khác,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
26,Tài sản lưu động khác,989483554.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,21658057201.0,17761603585.0,23666889854.0
28,Phải thu dài hạn,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0
36,Tài sản cố định,16542971188.0,13062165608.0,17608738732.0
37,GTCL TSCĐ hữu hình,15409296134.0,12007360953.0,16553934077.0
38,Nguyên giá TSCĐ hữu hình,51715014735.0,83773509037.0,97050332625.0
39,Khấu hao lũy kế TSCĐ hữu hình,-36305718601.0,-71766148084.0,-80496398548.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,1099718418.0,1054804655.0,1054804655.0
44,Nguyên giá TSCĐ vô hình,2189207983.0,2447373655.0,2447373655.0
45,Khấu hao lũy kế TSCĐ vô hình,-1089489565.0,-1392569000.0,-1392569000.0
46,Bất động sản đầu tư,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,86134545.0,128200000.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,33956636.0,0.0,0.0
52,Đầu tư dài hạn,3460000000.0,3900000000.0,3900000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,3460000000.0,3900000000.0,3900000000.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0
58,Tài sản dài hạn khác,1655086013.0,713303432.0,2029951122.0
59,Trả trước dài hạn,253384397.0,674903432.0,1991551122.0
60,Thuế thu nhập hoãn lại phải thu,1401701616.0,38400000.0,38400000.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,53637142590.0,63672647831.0,79446572554.0
65,Nợ ngắn hạn,51667552464.0,62769047831.0,78917972554.0
66,Phải trả người bán,8328662017.0,28789010632.0,17815578407.0
67,Người mua trả tiền trước,3340130263.0,17155775979.0,6197866176.0
68,Thuế và các khoản phải trả Nhà nước,730345673.0,2491728911.0,890337494.0
69,Phải trả người lao động,3302122012.0,4098049820.0,4922646827.0
70,Chi phí phải trả,5325168631.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,4664237272.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0
74,Phải trả khác,1754740462.0,1888174067.0,8762589619.0
